partial,f,sigma,count,meanR2,meanFittedFrameCount
1,465.656,0.370662,5,0.755283,766.6
2,934.003,0.379453,5,0.581776,764.2
3,1403.16,0.44368,5,0.682728,729.6
4,1877.43,0.518601,5,0.811093,762
5,2355.19,0.793567,5,0.970406,762.6
6,2841.84,1.19627,5,0.970811,581
7,3333.34,1.57132,5,0.915233,482.2
9,4216.81,2.70349,4,0.911298,239.75
10,4344.32,4.58825,1,0.884716,213
11,4865.83,3.94974,4,0.906268,210.25
12,5400.8,4.9676,4,0.868859,201
13,6507.51,6.76691,3,0.959771,156
15,7080.84,5.81993,3,0.755038,199
17,7673.22,10.8592,2,0.92007,93.5
18,8279.52,8.60503,2,0.792247,140.5
