partial,f,sigma,count,meanR2,meanFittedFrameCount
1,30.954,0.223471,5,0.955186,1274
2,61.908,0.224887,5,0.935935,1269.4
3,91.5161,0.188043,5,0.883487,1274.8
4,122.47,0.159003,5,0.739534,1275.6
5,153.424,0.147294,5,0.785311,1276.6
6,184.378,0.141097,4,0.637842,1263.5
11,339.148,0.12234,5,0.658102,1256.8
13,402.402,0.142248,5,0.630446,1275.6
14,433.356,0.141064,5,0.693694,1274
15,469.693,0.182309,5,0.786097,1274.6
16,497.955,0.156876,5,0.80377,1276.6
17,529.178,0.192393,5,0.86727,1274
18,561.478,0.175688,5,0.821889,1275.8
19,593.509,0.20628,5,0.862216,1271.2
20,626.078,0.192762,5,0.869452,1274.2
21,659.454,0.197855,5,0.84794,1271.4
22,693.1,0.211811,5,0.831177,1270.4
23,725.4,0.219756,5,0.864795,1150.6
24,764.429,0.373454,5,0.943328,1080
25,797.536,0.404187,5,0.959649,1050
26,826.337,0.240174,3,0.940978,1273
27,861.328,0.262486,5,0.912935,1265.6
28,895.243,0.270547,5,0.937336,1269.8
29,929.965,0.313966,5,0.948226,1264.6
30,964.957,0.379706,5,0.995124,1263.8
31,999.948,0.411292,5,0.949537,1230
32,1035.21,0.351007,5,0.990921,1274
33,1071.28,0.392407,5,0.952912,1265.6
34,1108.96,0.423334,5,0.991039,1260
35,1144.22,0.464814,5,0.988424,1194.4
36,1181.63,0.538254,5,0.965774,1025
37,1217.97,0.506656,5,0.976777,1090.2
38,1255.65,0.598036,5,0.988081,943.8
39,1293.61,0.547231,5,0.974551,980.2
40,1331.29,0.607476,5,0.980285,880.6
41,1370.05,0.648156,5,0.988851,872.6
42,1409.89,0.632046,5,0.988075,879
43,1449.45,0.669861,5,0.986251,818.6
44,1488.75,0.666932,5,0.97151,809
45,1528.86,0.76654,5,0.9366,726.2
46,1569.23,0.809335,5,0.982628,674.8
47,1608.53,0.831053,5,0.998375,719
48,1651.33,0.806084,5,0.985662,667.8
49,1693.38,0.855708,4,0.999087,668.25
50,1734.77,0.945183,5,0.98744,588
51,1776.76,1.00979,5,0.976782,539.4
52,1820.9,1.14696,5,0.965214,473.6
53,1863.97,1.10377,5,0.923783,472.8
54,1907.03,1.22094,5,0.975784,456.4
55,1950.1,1.2938,4,0.999103,459.75
57,2036.23,1.30125,2,0.997988,426
63,2289.25,1.49937,1,0.994313,333
64,2346.78,4.00917,4,0.998979,137.25
65,2399.61,1.44031,1,0.999727,394
66,2437.29,1.47088,1,0.99904,365
68,2550.34,1.53986,1,0.999425,353
69,2588.02,1.49011,2,0.998552,364.5
70,2624.36,2.26301,1,0.905339,202
71,2675.05,2.03969,3,0.994564,288.667
72,2726.64,1.89332,3,0.994,288.333
73,2777.33,2.07203,3,0.981703,270.667
74,2832.06,2.18176,3,0.996468,247
75,2884.55,2.74041,3,0.998649,209.333
76,2937.04,2.10252,3,0.976386,264
77,2994.46,2.73141,2,0.98439,190
78,2814.12,2.01912,2,0.990085,252
83,3284.08,2.59327,5,0.942402,379
93,3633.06,3.50439,4,0.865337,288.25
