partial,f,sigma,count,meanR2,meanFittedFrameCount
1,72.6746,0.358944,3,0.858029,1108.33
2,146.695,0.185177,4,0.681069,1267.75
3,219.37,0.200787,5,0.672532,1272.4
7,514.105,0.187584,4,0.686966,1270.75
8,588.126,0.210333,3,0.75699,1272
9,660.8,0.201501,5,0.695738,1259.6
10,734.821,0.23246,5,0.757802,1267
11,808.841,0.189986,3,0.626212,1235.33
12,882.861,0.228586,5,0.735118,1268.2
13,956.882,0.260269,5,0.833804,1269.2
14,1032.25,0.23501,5,0.730785,1271.4
15,1106.27,0.233892,5,0.737597,1268.6
16,1181.63,0.395269,5,0.898916,1142
17,1256.46,0.306715,5,0.864505,1155.4
18,1331.02,0.442137,5,0.913116,1080.4
19,1407.73,0.371377,5,0.966875,1262
20,1485.79,0.326569,2,0.922053,1264
21,1563.85,0.247797,1,0.937622,1274
27,2063.82,0.744464,2,0.887608,621
28,2138.52,0.767632,2,0.917056,575.5
34,2649.93,0.612718,1,0.892588,825
35,2733.37,0.550115,4,0.962284,922.75
36,2814.57,0.614712,3,0.961686,880
37,2897.56,0.551889,4,0.9572,986.75
38,2978.31,0.617736,3,0.971601,887.667
39,2733.37,0.589797,1,0.912811,654
41,2897.56,0.554918,1,0.899804,720
43,3001.19,0.92669,2,0.898009,834
45,3872.28,1.14241,4,0.913813,586.75
46,4181.48,1.01024,2,0.976775,647.5
50,4002.48,2.0929,1,0.911643,520
56,4181.48,1.57882,2,0.890035,511
58,4274.34,1.15898,3,0.930739,599.667
59,4274.34,2.14886,1,0.909592,515
60,4916.3,1.84874,3,0.923253,437.667
66,5106.06,2.09535,3,0.89741,489.333
68,6111.39,3.36996,2,0.91212,310.5
78,8005.64,4.27003,2,0.862494,210
94,8574.25,1.47161,1,0.564465,456
