partial,f,sigma,count,meanR2,meanFittedFrameCount
1,164.864,0.315786,4,0.837987,916.25
2,329.727,0.31239,4,0.807657,1012
3,493.918,0.259746,4,0.763237,1014.5
4,659.454,0.346155,5,0.740924,1005
5,824.991,0.255758,5,0.743872,1012.4
6,990.527,0.316142,5,0.898087,998
8,1324.29,0.434753,5,0.885636,1004.2
9,1491.17,0.388213,5,0.889207,1006
10,1659.67,0.375464,5,0.855215,899.6
11,1828.98,0.403633,5,0.915874,999.8
12,2001.24,0.393163,5,0.918753,954.6
13,2174.85,0.475101,1,0.92443,1005
18,2688.96,0.652346,5,0.925424,713.6
19,3218.14,0.945758,5,0.922435,699.6
20,3945.96,1.08711,1,0.962246,621
22,3945.96,1.50833,4,0.874086,511
27,4133.3,1.85706,5,0.934209,431.8
28,4511.21,2.03222,4,0.89866,345.75
30,4898.13,2.3368,4,0.874128,343.25
31,5489.62,2.4947,3,0.885291,342.667
35,7168.31,4.49004,3,0.851256,194
43,7297.96,4.66891,3,0.815136,257.667
44,8537.24,4.95055,2,0.825485,226.5
49,9019.05,4.25468,2,0.718509,290.5
51,10015.6,6.19039,1,0.841544,174
55,10532.4,4.35367,1,0.723478,197
