partial,f,sigma,count,meanR2,meanFittedFrameCount
1,87.4786,0.225679,5,0.861194,1268.8
2,174.957,0.264554,5,0.780979,1266.4
3,261.09,0.180967,5,0.793185,1273.8
4,348.569,0.450997,3,0.756663,1039
5,436.047,0.205848,5,0.66854,1267
6,523.526,0.198158,2,0.761115,1270
7,611.005,0.202658,4,0.716608,1270.75
8,699.829,0.159162,1,0.64802,1273
9,787.308,0.207263,5,0.72354,1271.2
10,874.786,0.202128,3,0.676712,1269
11,963.611,0.24665,5,0.788455,1202.8
12,1051.09,0.302934,5,0.804199,1265.2
13,1139.91,0.28259,5,0.803414,1264
14,1228.74,0.250518,5,0.764554,1268.4
15,1317.56,0.302563,5,0.842321,1217.4
16,1407.73,0.403805,5,0.903167,1090.6
17,1496.56,0.340402,5,0.873914,1157
18,1586.73,0.340852,5,0.895921,1254.2
19,1677.44,0.382793,5,0.899273,1192.4
20,1768.41,0.554644,5,0.913497,799
21,1861.28,0.371444,1,0.906535,1254
28,2546.3,0.675683,1,0.904439,700
29,2635.13,0.703134,1,0.880633,625
33,2600.13,0.705744,5,0.929197,698.6
34,2813.04,0.676423,5,0.941807,702.6
36,3472.23,1.14041,5,0.893463,626.4
44,3571.82,1.3273,5,0.915871,588.6
45,4237.33,2.30403,4,0.899883,394.75
51,4290.04,1.82506,3,0.897853,420.667
52,4394.46,1.7564,4,0.906531,470.25
53,5044.6,2.36371,3,0.925353,337.667
59,6189,2.69813,3,0.840136,363.667
69,6678.66,3.70456,2,0.879706,267.5
73,7173.25,3.50984,2,0.818424,329.5
77,8509.65,3.48807,2,0.767034,291
82,9198.71,1.81668,1,0.594148,431
92,9488.07,4.93879,1,0.871695,222
94,10226.9,2.53817,1,0.655643,335
