partial,f,sigma,count,meanR2,meanFittedFrameCount
1,370.102,0.470484,5,0.814909,748.6
2,740.204,0.395535,5,0.77194,731
3,1111.65,0.37905,3,0.679917,747.333
4,1486.6,0.413103,5,0.846178,749.6
5,1862.62,0.499325,5,0.92783,746.8
6,2242.41,0.531663,5,0.950568,737.6
7,2627.05,0.70722,5,0.964371,688.8
9,3015.99,1.13353,5,0.946981,582
10,3913.32,2.38056,4,0.89357,321
11,4630.98,2.79724,3,0.933252,252.667
14,5486.03,4.44411,3,0.905772,203.667
17,5925,5.487,2,0.90711,152.5
18,7298.41,8.06171,1,0.900614,124
21,7780.22,9.27548,1,0.945695,123
