partial,f,sigma,count,meanR2,meanFittedFrameCount
1,391.635,0.501129,5,0.77038,748.4
2,784.616,0.335331,5,0.696709,751.2
3,1178.94,0.450929,5,0.813958,745.6
4,1575.96,0.449521,5,0.863479,745.6
5,1975.67,0.547308,5,0.887065,751
6,2380.76,0.644997,5,0.94136,730.4
7,2788.01,0.796023,5,0.938081,577.6
9,3201.72,1.45058,5,0.910219,491.8
10,3622.62,1.76523,4,0.894795,368
11,4482.94,2.11758,3,0.875851,379.333
13,4925.72,3.11807,3,0.895811,205.667
15,5838.19,5.33588,3,0.927283,162.667
17,6797.76,7.90443,2,0.922414,129
19,7797.71,5.54141,2,0.767079,197
22,8848.8,5.71527,1,0.730748,167
24,9391.17,3.74235,1,0.627746,207
25,9932.19,3.64909,1,0.613561,209
