partial,f,sigma,r2,fittedFrameCount
1,440.085,0.444243,0.69417,765
2,881.516,0.564044,0.892367,763
3,1324.29,0.548117,0.799318,759
4,1771.11,0.599449,0.894547,758
5,2220.61,0.774023,0.95544,754
6,2676.85,0.962494,0.969627,709
8,3139.81,1.42807,0.953679,459
9,3609.5,1.86594,0.953867,354
10,5072.42,4.1751,0.957737,169
13,5581.14,4.8302,0.927353,144
14,6640.3,8.67668,0.94827,111
17,7186.71,8.36173,0.930189,95
18,7747.92,3.96962,0.701832,218
19,8901.29,4.45038,0.660608,180
21,9525.75,2.27915,0.519829,255
