partial,f,sigma,r2,fittedFrameCount
3,467.001,0.192513,0.603845,1010
5,777.887,0.276539,0.679043,1015
6,935.349,0.307871,0.692177,1006
7,1091.46,0.359556,0.820698,995
8,1248.93,0.344179,0.822899,1004
9,1407.73,0.401442,0.875841,1003
10,1565.19,0.389424,0.87147,1010
11,1725.35,0.662959,0.995159,908
12,1888.19,0.728897,0.918866,667
19,2862.57,0.819125,0.971953,633
21,3365.91,1.25859,0.947688,539
24,3707.75,1.11952,0.982577,623
26,3881.36,1.14653,0.954305,598
28,4233.97,1.26262,0.975949,543
30,4591.96,2.0833,0.911734,296
32,5139.71,2.29222,0.955105,333
35,5326.78,2.22854,0.956,293
36,6492.26,2.98676,0.936822,223
42,6691.44,3.39946,0.90284,204
43,7735.8,5.31279,0.871335,156
47,7951.14,4.98962,0.897854,140
48,8385.84,6.91429,0.904162,134
50,9524.41,5.71983,0.848632,186
55,9765.31,6.08066,0.864739,182
58,10484,1.6037,0.533861,386
