partial,f,sigma,r2,fittedFrameCount
1,65.9454,0.20257,0.864489,1277
2,130.545,0.236167,0.809395,1272
3,196.49,0.190787,0.859098,1274
5,327.036,0.17268,0.707985,1275
6,391.635,0.210938,0.837219,1275
7,457.581,0.21717,0.756528,1272
9,588.126,0.190561,0.74933,1270
11,720.016,0.253174,0.924511,1268
12,785.962,0.196953,0.743496,1273
14,919.199,0.166259,0.66657,1268
16,1051.09,0.296268,0.888443,1263
17,1118.38,0.235087,0.821707,1269
18,1184.33,0.235282,0.785379,1267
19,1252.96,0.325466,0.867148,1264
33,2283.87,0.427172,0.90471,1068
34,2356.54,0.502167,0.94582,1037
35,2426.52,0.585469,0.954157,986
36,2499.2,0.562801,0.953466,974
37,2570.53,0.536129,0.934762,881
43,2643.2,0.558383,0.944544,954
44,2715.88,0.574632,0.936131,889
45,3085.98,0.66216,0.907307,837
50,3620.27,1.51652,0.841153,541
57,3701.02,0.984449,0.806885,523
58,4390.08,2.48936,0.797801,372
