partial,f,sigma,r2,fittedFrameCount
2,277.24,0.288062,0.869291,1011
3,415.86,0.204952,0.686268,1012
4,554.48,0.258821,0.676133,1011
5,693.1,0.227185,0.742273,1014
6,833.066,0.273435,0.727713,1012
7,971.686,0.414463,0.911253,1005
8,1111.65,0.256208,0.80992,1014
9,1252.96,0.295183,0.741788,1009
10,1392.93,0.306522,0.863193,889
11,1535.59,0.35991,0.881138,1003
21,2691.65,0.767417,0.942975,577
22,2839.69,0.78675,0.935115,665
23,2989.08,0.781796,0.956166,642
24,3139.81,0.869054,0.961648,721
25,3598.74,1.73666,0.81436,429
28,4228.58,1.68556,0.743245,396
33,4554.27,2.52271,0.910586,403
35,5048.19,2.18192,0.85313,442
