partial,f,sigma,r2,fittedFrameCount
1,146.695,0.407277,0.963016,997
6,882.861,0.362489,0.895899,1006
7,1030.9,0.341241,0.768511,1008
8,1178.94,0.332485,0.685067,1004
9,1328.33,0.35715,0.903113,1004
10,1477.72,0.378605,0.857422,908
11,1627.1,0.354231,0.850862,931
20,2701.07,0.721518,0.930931,737
21,2858.53,0.803257,0.966441,602
22,3015.99,0.77719,0.885526,692
23,3499.15,1.38472,0.820846,477
26,3663.34,1.19211,0.877435,478
28,4162.64,2.50227,0.863578,383
31,4676.74,2.25453,0.830719,481
34,4850.35,1.66103,0.784634,566
