partial,f,sigma,r2,fittedFrameCount
1,43.0664,0.284103,0.902543,1271
2,87.4786,0.227575,0.929723,1272
3,130.545,0.235729,0.922155,1273
4,173.611,0.25723,0.881314,1275
5,218.024,0.193976,0.647902,1272
6,261.09,0.210286,0.920034,1273
7,305.502,0.230624,0.79769,1273
9,392.981,0.141199,0.619853,1275
11,480.46,0.249209,0.837067,1277
13,567.938,0.247465,0.809426,1268
14,612.35,0.308983,0.84609,1263
15,656.763,0.317641,0.82999,1265
16,701.175,0.249532,0.786414,1268
17,745.587,0.264236,0.850409,1270
18,791.345,0.173223,0.770615,1275
19,835.757,0.193803,0.725665,1271
20,880.17,0.211471,0.740795,1272
21,925.928,0.291239,0.814267,1265
22,971.686,0.384293,0.84158,1071
23,1018.79,0.323315,0.940354,1253
24,1065.89,0.320539,0.911731,1254
25,1135.88,0.853384,0.886509,481
27,1224.7,0.824919,0.838656,512
28,1257,0.611848,0.795977,387
34,1580,0.611366,0.896216,742
35,1628.45,0.56663,0.912407,880
36,1678.24,0.54542,0.906731,780
37,1726.69,0.587714,0.956316,860
38,1776.49,0.513714,0.972732,1127
39,1826.28,0.590335,0.943819,805
40,1881.46,0.611175,0.920021,745
41,1927.22,0.617048,0.947595,844
42,1977.02,0.639246,0.967241,831
49,2395.57,0.763311,0.933891,643
50,2449.4,0.790992,0.91872,576
51,2503.23,0.889254,0.978667,591
52,2558.41,0.933845,0.926591,486
53,2613.59,0.958466,0.826642,442
54,2667.43,1.02282,0.958274,470
61,3135.77,1.49813,0.93015,419
70,3491.07,2.32136,0.911994,495
76,3614.89,1.85574,0.845924,363
78,3675.45,1.90302,0.913527,561
79,4388.74,3.03564,0.933255,356
