partial,f,sigma,r2,fittedFrameCount
1,45.7581,0.252655,0.905702,1268
2,91.5161,0.265894,0.950654,1272
3,138.62,0.233386,0.936166,1272
4,184.378,0.227978,0.803965,1274
5,230.136,0.258508,0.854907,1273
6,277.24,0.269292,0.889384,1228
9,415.86,0.21112,0.862434,1270
10,461.618,0.209515,0.742473,1273
11,508.722,0.165877,0.752586,1273
12,555.826,0.277551,0.831956,1267
13,601.584,0.2532,0.840683,1265
14,648.688,0.232155,0.719297,1268
16,742.896,0.186936,0.663042,1274
18,837.103,0.261371,0.811728,1267
19,885.553,0.252612,0.77986,1271
21,981.107,0.379939,0.864749,1102
22,1029.56,0.194046,0.737424,1272
23,1079.35,0.302512,0.863011,1267
26,1250.27,0.63285,0.858743,657
27,1297.38,0.657402,0.837481,657
33,1619.03,0.552416,0.940069,908
34,1670.17,0.526322,0.906822,913
35,1721.31,0.492567,0.968954,1061
36,1773.8,0.526238,0.908635,989
37,1824.94,0.474859,0.980424,1095
38,1877.43,0.547575,0.956712,959
39,1929.91,0.50114,0.900178,894
50,2581.29,0.926062,0.962468,534
51,2639.16,0.905728,0.987305,529
59,2695.69,0.972091,0.951762,506
60,2753.56,1.02158,0.916061,439
61,3165.38,1.98955,0.926075,510
67,3228.63,1.76631,0.853411,457
68,3287.85,1.56768,0.891678,493
69,3859.83,1.18713,0.752202,722
71,4602.72,2.10476,0.743362,457
