partial,f,sigma,r2,fittedFrameCount
1,123.816,0.223952,0.920005,1269
4,493.918,0.198136,0.657597,1273
6,741.55,0.214008,0.723925,1266
7,865.366,0.255695,0.760071,1270
8,990.527,0.239609,0.722165,1260
9,1114.34,0.20111,0.742124,1266
10,1239.51,0.284822,0.902713,1259
11,1366.01,0.366316,0.952042,1258
23,2781.82,0.8139,0.965588,644
25,2915.06,0.791999,0.973909,681
26,3049.64,0.745058,0.96331,836
27,3731.97,1.09638,0.970489,606
32,3873.28,1.02512,0.930798,589
33,5033.39,2.78589,0.898681,327
41,5184.12,3.05811,0.911141,344
42,5957.97,3.92531,0.900166,269
46,6439.77,1.81912,0.706106,488
