partial,f,sigma,r2,fittedFrameCount
1,98.2452,0.291785,0.941649,1262
4,391.635,0.234464,0.726733,1269
5,489.88,0.280724,0.851758,1266
6,588.126,0.172763,0.628585,1268
7,686.371,0.239924,0.855016,1268
8,784.616,0.144712,0.627957,1270
9,884.207,0.228282,0.744401,1266
10,982.452,0.263144,0.714381,1062
11,1082.04,0.240034,0.726058,1267
12,1181.63,0.282331,0.784784,1257
13,1281.23,0.280372,0.843761,1209
14,1380.82,0.33714,0.879476,1209
15,1481.75,0.394402,0.888764,1100
16,1582.69,0.413772,0.946314,1243
17,1683.63,0.393854,0.951745,1252
18,1784.56,0.46929,0.877617,808
19,1886.85,0.438343,0.935954,1105
20,1989.13,0.397094,0.913653,1192
21,2091.41,0.526893,0.965543,888
22,2195.04,0.515875,0.844245,817
24,2404.99,0.53965,0.917607,913
30,2932.55,0.657496,0.893207,771
34,3040.22,0.771588,0.977815,860
35,3147.89,0.906674,0.953065,704
36,3814.07,1.39403,0.819873,473
43,4626.95,1.95198,0.944757,335
50,4867.85,1.92987,0.882996,323
52,5111.44,3.02319,0.918278,333
55,5870.49,2.62664,0.870535,416
