partial,f,sigma,r2,fittedFrameCount
2,465.656,0.299084,0.896109,1008
3,699.829,0.348154,0.850708,1012
4,934.003,0.352777,0.850763,999
5,1169.52,0.695779,0.795529,500
6,1405.04,0.426066,0.898435,985
7,1641.91,0.520351,0.918202,821
8,1885.5,0.753991,0.96371,619
13,2853.15,0.956187,0.952828,517
14,3606.81,1.38463,0.905446,443
17,4653.86,2.07317,0.953811,326
22,4923.03,2.28465,0.885997,264
23,5196.23,2.91149,0.907663,250
24,6042.75,3.67961,0.90831,179
27,6932.35,5.09867,0.899727,223
29,8173.2,7.31369,0.878034,100
33,8504.27,7.03347,0.883178,161
