partial,f,sigma,r2,fittedFrameCount
1,165.536,0.281571,0.850687,916
2,329.727,0.392566,0.875166,1011
3,493.918,0.301179,0.820585,1014
4,659.454,0.379352,0.724609,1004
5,824.991,0.266049,0.744079,1012
6,990.527,0.327485,0.876414,994
8,1324.29,0.455502,0.882341,1000
9,1491.17,0.370462,0.883479,1007
10,1659.4,0.353948,0.863526,1000
11,1828.98,0.406781,0.885374,996
12,2001.24,0.407288,0.913957,953
18,2688.96,0.645589,0.947465,733
19,3217.87,0.814244,0.963323,778
22,3945.96,1.02914,0.946386,598
27,4133.03,1.38576,0.959509,471
28,4511.21,1.88792,0.933408,326
30,5489.62,2.1544,0.935086,303
35,7167.87,5.76225,0.876405,154
43,7298.41,6.39112,0.954982,178
44,8536.57,2.99614,0.703154,293
49,9017.03,1.50616,0.516182,419
