partial,f,sigma,r2,fittedFrameCount
1,52.4872,0.227509,0.834852,1275
2,103.629,0.242257,0.923239,1271
3,154.77,0.291039,0.843216,1273
4,207.257,0.218194,0.733972,1273
8,414.514,0.148519,0.780576,1277
9,467.001,0.225453,0.742921,1269
10,519.489,0.188978,0.769918,1270
11,570.63,0.191007,0.721099,1266
12,623.117,0.194177,0.744561,1270
13,675.604,0.284164,0.857017,1266
14,728.091,0.242005,0.805706,1253
15,780.579,0.225543,0.719111,1268
16,834.412,0.239827,0.870575,1270
17,886.899,0.183117,0.646436,1268
18,939.386,0.260017,0.832762,1266
19,991.873,0.303304,0.862227,1198
20,1047.05,0.243084,0.847427,1084
21,1102.23,0.305154,0.843175,1262
26,1403.7,0.666793,0.942879,703
28,1508.67,0.718889,0.930481,676
31,1697.09,0.522721,0.938151,899
32,1754.96,0.497986,0.974431,1060
33,1810.13,0.446095,0.939658,1196
34,1869.35,0.439884,0.943575,1218
35,1925.88,0.497416,0.958932,1053
36,1979.71,0.52252,0.980858,1077
37,2037.58,0.481435,0.991635,1177
38,2098.14,0.571527,0.980088,961
39,2161.4,0.659826,0.670876,306
41,2305.4,0.786397,0.974447,588
43,2444.02,0.681394,0.95661,762
44,2505.93,0.738106,0.984926,801
45,2569.18,0.76865,0.974951,693
46,2625.71,0.960296,0.993791,618
48,2752.21,0.829549,0.987195,652
53,2876.03,1.02172,0.999609,551
57,2994.46,1.02056,0.990596,545
59,3602.77,1.20117,0.976714,561
68,4186.86,1.98956,0.926107,329
76,4633.68,2.26008,0.951522,290
82,4709.04,3.07194,0.929146,304
83,5371.19,3.83411,0.89011,212
91,5528.65,3.71368,0.870719,199
93,5718.41,4.05866,0.932918,280
95,5882.6,3.01431,0.85534,355
