partial,f,sigma,count
1,26.9165,0.220606,5
2,55.1788,0.247599,5
3,82.0953,0.222407,5
4,109.012,0.14317,5
5,135.928,0.171289,5
6,164.191,0.213208,5
8,219.37,0.116424,4
9,246.286,0.128031,2
10,274.548,0.130657,5
11,302.811,0.121344,5
12,331.073,0.118539,5
13,357.99,0.182693,5
14,386.521,0.213403,5
15,415.86,0.314219,5
16,443.046,0.19931,5
17,472.385,0.180887,5
18,501.993,0.196089,5
19,530.524,0.183553,5
20,559.863,0.205813,5
21,589.471,0.135857,5
22,619.349,0.222981,5
23,648.957,0.235437,5
24,679.642,0.278383,5
25,710.596,0.259093,5
26,741.55,0.25304,5
27,771.427,0.286259,5
28,803.458,0.28934,5
29,834.95,0.371527,5
30,866.711,0.351677,5
31,899.011,0.356642,5
32,931.311,0.393569,5
33,964.957,0.550955,3
34,997.526,0.525656,5
35,1030.9,0.461267,5
36,1064.55,0.480734,5
37,1095.77,0.598816,5
38,1119.73,1.09899,2
39,1149.33,1.0793,3
40,1178.94,1.06649,4
41,1207.54,0.781278,4
42,1240.85,0.699099,5
43,1275.84,0.790339,5
44,1312.45,0.790804,5
45,1349.86,0.953624,5
46,1386.47,0.951014,5
47,1424.42,1.05153,5
48,1462.91,1.07117,5
49,1500.6,1.23586,5
50,1539.96,1.25222,4
51,1580,1.32742,4
52,1620.37,1.27242,5
53,1659.4,1.47789,4
54,1699.78,1.39142,5
55,1733.87,1.51014,3
56,1776.49,1.69986,5
60,1912.42,2.29607,2
61,1955.48,2.59324,4
62,1999.22,2.50053,4
63,2044.31,1.9702,2
64,2089.06,2.58987,4
65,2135.82,2.58106,3
66,2181.58,2.57589,2
67,2227.79,2.52101,3
68,2274.44,3.05811,2
69,2318.86,2.87923,2
74,2519.83,3.33172,3
75,2567.83,3.5825,3
76,2618.98,3.19823,3
77,2666.53,3.41997,3
78,2722.6,4.21023,1
79,2772.4,2.98054,1
82,2925.82,2.56156,1
84,3003.88,3.94098,1
86,3109.53,5.48478,4
87,3157.31,4.86873,4
88,3214.28,6.22259,3
89,3269.46,6.21086,3
90,3325.53,4.53772,3
91,3387.44,4.24682,3
92,3443.07,4.52356,3
93,3484.79,4.81106,3
94,3549.84,6.96778,3
95,3610.85,5.64982,1
96,3652.57,3.48052,1
