partial,f,sigma,count
1,28.2623,0.206856,5
2,57.8705,0.234744,5
3,86.1328,0.194219,5
4,115.741,0.18391,5
5,145.349,0.170572,5
7,203.22,0.12021,1
8,232.828,0.150283,5
9,261.09,0.14265,5
10,290.698,0.13886,4
11,320.306,0.12188,5
12,350.184,0.117273,5
13,380.869,0.177969,5
14,410.477,0.155732,5
15,440.085,0.189181,5
16,471.039,0.176145,5
17,501.993,0.161864,5
18,532.947,0.215962,5
19,563.901,0.190229,5
20,594.855,0.277206,5
21,625.809,0.233134,5
22,658.109,0.236968,5
23,689.601,0.23833,5
24,721.362,0.217607,5
25,753.931,0.239744,5
26,787.308,0.255231,5
27,820.953,0.284875,5
28,853.522,0.291452,5
29,887.168,0.352331,5
30,921.89,0.31746,5
31,955.536,0.347921,5
32,990.527,0.426995,5
34,1033.59,0.938721,2
36,1126.46,0.804965,3
37,1157.41,0.983837,4
38,1178.94,0.731221,5
39,1207.21,0.550417,5
40,1244.89,0.688448,5
41,1283.11,0.642664,5
42,1320.52,0.696645,5
43,1359.28,0.787952,5
44,1398.31,0.774543,5
45,1437.34,0.833697,5
46,1477.72,1.02809,5
47,1518.09,0.92435,5
48,1559.81,0.92985,5
49,1600.46,1.66367,5
50,1640.56,1.30351,3
51,1674.21,1.29841,2
52,1707.85,1.27587,3
53,1741.5,1.34142,2
55,1816.86,1.38987,5
56,1859.39,1.4732,5
57,1904.34,1.81223,5
58,1950.1,1.60288,5
59,1995.86,1.59242,3
60,2042.51,1.83015,3
61,2088.72,2.42537,2
62,2135.82,1.84996,4
63,2158.7,1.64344,1
66,2304.05,1.71391,1
67,2340.39,1.76015,1
68,2382.11,2.16713,4
69,2433.25,2.24409,3
70,2487.76,1.77694,2
71,2535.53,2.31002,3
72,2588.36,2.67621,4
73,2642.75,2.74658,3
74,2693.33,2.63098,4
75,2718.57,1.90914,2
76,2793.93,3.21922,4
77,2837,1.93846,1
78,2877.37,1.93596,1
80,2997.15,1.97747,1
81,3030.8,4.29408,4
82,3084.29,3.72639,4
83,3146.54,4.47625,4
84,3204.86,3.98511,3
85,3262.62,4.57522,4
87,3369.95,1.84492,1
88,3413.01,3.28534,2
89,3457.42,4.10214,2
90,3540.87,4.40782,2
91,3572.27,5.68885,3
92,3630.36,4.32906,2
93,3696.08,5.30847,3
94,3764.27,5.3555,2
95,3808.24,4.70208,3
96,3892.13,5.85277,2
