partial,f,sigma,count
1,30.954,0.223471,5
2,61.908,0.224887,5
3,91.5161,0.188043,5
4,122.47,0.159003,5
5,153.424,0.147294,5
6,184.378,0.139956,5
10,308.194,0.102461,2
11,339.148,0.12234,5
12,371.448,0.121029,2
13,402.402,0.142248,5
14,433.356,0.141064,5
15,468.078,0.172161,5
16,497.955,0.156876,5
17,529.178,0.192393,5
18,561.478,0.175688,5
19,593.509,0.20628,5
20,626.078,0.192762,5
21,659.454,0.197855,5
22,693.1,0.211811,5
23,725.4,0.219756,5
24,764.429,0.373454,5
25,797.536,0.404187,5
26,826.337,0.247411,5
27,861.328,0.262486,5
28,895.243,0.270547,5
29,929.965,0.313966,5
30,964.957,0.379706,5
31,999.948,0.411292,5
32,1035.21,0.351007,5
33,1071.28,0.392407,5
34,1108.96,0.423334,5
35,1144.22,0.464814,5
36,1181.63,0.538254,5
37,1217.97,0.506656,5
38,1255.65,0.598036,5
39,1293.61,0.547231,5
40,1331.29,0.607476,5
41,1370.05,0.648156,5
42,1409.89,0.632046,5
43,1449.45,0.669861,5
44,1488.75,0.666932,5
45,1528.86,0.76654,5
46,1569.23,0.809335,5
47,1608.26,0.831053,5
48,1651.33,0.806084,5
49,1693.38,0.855708,4
50,1734.77,0.945183,5
51,1776.76,1.00979,5
52,1820.9,1.14696,5
53,1863.97,1.10377,5
54,1907.03,1.22094,5
55,1950.1,1.2938,4
57,2036.23,1.30125,2
63,2289.25,1.49937,1
64,2346.78,4.00917,4
65,2399.61,1.44031,1
66,2437.29,1.47088,1
68,2550.34,1.53986,1
69,2588.02,1.49011,2
70,2624.36,2.26301,1
71,2674.15,2.03969,3
72,2726.64,1.89332,3
73,2777.33,2.07203,3
74,2832.06,2.18176,3
75,2884.55,2.74041,3
76,2937.26,1.956,2
77,2994.46,2.73141,2
78,3046.95,2.78993,4
79,3102.46,3.17384,4
80,3160.67,3.52462,4
81,3217.87,3.31839,4
82,3284.08,3.16222,5
83,3332.6,4.02386,4
84,3389.24,4.02383,3
85,3451.03,3.83233,4
86,3508.9,3.76777,4
87,3571.15,4.18047,4
88,3631.71,5.01414,2
89,3689.36,5.26081,3
90,3743.64,4.72074,3
91,3812.72,3.64334,1
92,3860.5,4.56736,2
93,3905.58,4.78249,2
94,3993.74,4.76801,2
95,4040.17,4.84547,1
