partial,f,sigma,count
1,65.9454,0.249538,5
2,130.545,0.274562,5
3,196.49,0.208169,5
4,261.09,0.239843,5
5,327.036,0.188063,5
6,391.635,0.19882,5
7,457.581,0.215263,5
8,523.526,0.213262,4
9,588.126,0.176997,5
10,654.071,0.171132,5
11,720.016,0.277634,5
12,785.962,0.194725,5
13,851.907,0.157107,3
14,918.391,0.200546,5
15,985.144,0.197424,5
16,1051.09,0.304441,5
17,1117.84,0.241656,5
18,1184.33,0.246382,5
19,1252.96,0.299057,5
20,1321.6,0.310545,3
27,1837.05,0.601843,1
33,2283.87,0.483674,4
34,2356.54,0.521657,4
35,2426.52,0.558451,4
36,2499.2,0.596405,4
37,2570.53,0.578849,4
38,2645.89,0.615816,3
41,2908.33,0.937054,1
45,3236.37,0.792613,4
46,3313.42,1.2179,3
47,3390.13,1.62388,1
48,3469.54,0.890117,1
50,3659.3,1.27602,2
53,3936.54,1.47601,2
54,4005.18,1.55463,2
55,4100.73,1.21836,2
56,4182.82,1.04519,3
58,4391.43,1.59154,4
60,4591.96,1.75735,2
61,4679.43,1.90665,2
62,4764.22,2.07364,2
65,5068.38,1.95684,1
67,5269.8,1.63522,3
68,5373.88,2.76457,2
69,5468.09,3.16079,2
73,5917.59,3.5179,2
74,6015.84,2.65792,1
75,6147.73,2.84158,1
78,6486.88,4.24882,1
79,6589.16,3.51216,2
80,6692.79,3.84584,2
84,7179.98,5.17081,1
85,7282.26,4.64631,2
90,7906.72,4.11357,2
