partial,f,sigma,count
1,68.6371,0.246787,4
2,138.62,0.293432,3
3,207.257,0.219667,2
4,277.24,0.255448,5
5,345.877,0.225116,5
7,484.497,0.219685,5
8,554.48,0.210505,5
9,624.463,0.206748,5
10,693.1,0.241329,5
11,763.083,0.201464,5
12,833.066,0.205845,5
13,903.049,0.208229,5
14,974.377,0.210463,5
15,1044.36,0.267878,5
16,1114.34,0.280794,5
17,1185.67,0.264737,5
18,1255.65,0.307747,5
19,1328.33,0.35897,5
20,1401,0.400418,2
21,1475.02,0.348983,1
27,1947.41,0.727482,1
28,2017.39,0.709119,1
33,2421.14,0.628702,1
34,2498.3,0.644618,3
35,2575.91,0.580654,4
36,2651.28,0.58322,4
37,2729.33,0.624796,4
38,2806.72,0.591863,4
39,2886.79,0.602057,2
41,3081.94,0.809833,2
42,3154.61,0.968533,2
43,3229.98,0.783956,1
46,3519.33,1.16263,3
47,3600.08,1.2625,2
48,3682.18,1.42311,3
49,3768.76,0.998317,3
50,3881.36,0.992874,2
51,3955.38,1.16937,1
54,4250.12,1.76815,2
55,4357.78,1.55583,3
56,4446.61,1.50178,2
57,4536.33,1.63255,3
58,4630.98,1.24467,1
62,5068.38,2.45357,2
63,5161.91,2.3346,2
64,5251.41,2.80745,1
65,5379.26,2.03465,2
68,5687.46,2.34547,1
70,5921.63,2.20177,1
71,6024.59,3.26254,2
75,6509.76,3.84034,1
76,6610.69,4.52343,1
81,7235.16,5.76954,2
82,7350.9,1.73943,1
88,8108.6,3.69035,1
