partial,f,sigma,count
1,72.6746,0.316409,4
2,146.695,0.178161,5
3,219.37,0.200787,5
5,367.41,0.150538,1
7,514.105,0.18831,5
8,588.126,0.207726,4
9,660.8,0.201501,5
10,734.821,0.23246,5
11,808.841,0.17395,5
12,882.861,0.228586,5
13,956.882,0.260269,5
14,1032.25,0.23501,5
15,1106.27,0.233892,5
16,1181.63,0.395269,5
17,1256.46,0.306715,5
18,1331.02,0.442137,5
19,1407.73,0.371377,5
20,1485.79,0.326569,2
21,1563.85,0.247797,1
27,2063.15,0.744464,2
28,2138.52,0.767632,2
34,2649.93,0.612718,1
35,2733.37,0.550115,4
36,2814.57,0.614712,3
37,2897.56,0.551889,4
38,2978.31,0.617736,3
39,3062.09,0.70227,4
40,3149.23,0.696294,1
42,3345.05,1.68125,2
43,3422.43,2.1802,2
47,3827.53,1.08915,2
48,3916.35,1.46037,3
49,4003.49,1.23282,4
50,4092.65,1.45782,3
51,4191.57,0.98054,2
54,4507.84,2.16341,2
56,4726.54,2.04486,2
57,4826.58,1.64756,3
58,4916.3,2.00671,3
59,5019.48,2.02148,3
64,5593.25,3.01415,2
65,5692.84,3.32359,2
66,5792.43,2.59854,2
67,5908.17,3.23984,1
68,6040.06,2.56748,1
71,6408.82,3.95589,1
72,6523.21,4.70858,1
73,6621.46,4.58502,1
74,6745.28,4.84144,1
75,6877.17,1.75389,1
76,7005.02,4.10984,2
78,7274.19,2.2327,1
80,7520.47,5.62065,1
85,8189.35,4.00727,1
93,9315.8,1.84177,1
