partial,f,sigma,count
1,39.0289,0.18775,5
2,78.0579,0.17163,5
3,115.741,0.160758,5
4,154.77,0.119891,5
5,193.799,0.162175,5
6,232.828,0.167576,5
7,271.857,0.170478,5
8,310.886,0.109419,5
9,349.915,0.144891,5
10,388.943,0.179933,5
11,427.972,0.14867,5
12,467.001,0.222628,5
13,506.03,0.180416,5
14,545.328,0.19824,5
15,585.434,0.236862,5
16,624.463,0.183603,5
17,664.838,0.193183,5
18,704.136,0.197644,5
19,744.78,0.209752,5
20,784.616,0.238109,5
21,824.991,0.223839,5
22,865.904,0.239872,5
23,907.086,0.311191,5
24,947.461,0.275881,5
25,990.527,0.318841,5
26,1032.25,0.355238,5
27,1099.54,2.75055,5
28,1121.41,0.533946,4
29,1170.87,0.881727,1
35,1454.84,0.543556,4
36,1499.79,0.53131,5
37,1545.01,0.593757,5
38,1588.34,0.568954,5
39,1633.83,0.703361,4
40,1678.58,0.659418,4
41,1724,0.705851,4
42,1770.03,0.761567,5
43,1816.86,0.815432,5
44,1862.62,0.835363,5
45,1909.73,0.867062,5
46,1957.28,0.92173,3
51,2227.34,1.32115,1
52,2269.06,1.27446,1
53,2345.77,1.05739,4
54,2396.91,1.23978,4
55,2437.96,1.22532,2
56,2499.87,1.3048,2
57,2550.34,1.17862,3
58,2603.27,1.29887,3
59,2654.64,1.20393,4
60,2707.8,1.35615,3
64,2956.78,1.2903,1
65,3001.19,1.42356,2
66,3088.67,2.00252,4
67,3145.64,2.03039,3
68,3202.05,1.69114,4
69,3260.04,2.16203,3
70,3315.22,2.31526,3
71,3377.01,2.15601,4
72,3443.29,2.20947,2
74,3587.3,2.91753,2
75,3633.73,2.93897,2
76,3725.24,3.02518,2
77,3773.02,3.19544,2
78,3857.58,4.13047,3
79,3922.18,3.25341,3
80,3984.09,3.70481,3
81,4046,3.45073,3
82,4112.39,3.51014,3
85,4347.02,3.7427,1
86,4403.99,4.8715,3
87,4494.38,4.38666,2
88,4544.85,4.80409,1
89,4643.55,4.49191,3
90,4702.31,5.09202,2
92,4852.37,4.97872,2
93,4953.98,4.81264,2
