partial,f,sigma,count
1,40.3748,0.196876,5
2,82.0953,0.165058,5
3,122.47,0.17112,5
4,164.191,0.209239,5
5,205.911,0.119997,1
6,246.286,0.14151,5
7,288.007,0.138281,5
8,328.381,0.15422,5
9,370.102,0.169395,5
10,411.823,0.126763,1
11,453.543,0.126959,5
12,495.264,0.165951,5
13,536.984,0.201836,5
14,578.705,0.191547,5
15,620.425,0.209451,5
16,662.146,0.179214,5
17,705.212,0.193222,5
18,746.933,0.192826,5
19,789.999,0.260222,5
20,832.527,0.244264,5
21,875.056,0.258011,5
22,918.122,0.292786,5
23,961.458,0.296773,5
24,1005.33,0.321358,5
25,1049.74,0.331491,5
26,1094.16,0.331232,5
27,1155.26,1.5722,5
28,1199.13,1.07939,1
29,1240.85,1.04332,1
30,1283.92,1.07733,1
37,1637.87,0.677264,5
38,1687.66,0.790699,5
39,1733.42,0.70329,5
40,1783.22,0.72073,5
41,1831.67,0.724016,5
42,1880.12,0.897729,4
43,1928.84,0.803046,5
44,1978.7,0.831993,4
45,2028.16,0.861633,4
46,2079.3,0.916244,4
47,2129.99,1.08251,3
48,2181.58,1.0214,3
50,2310.78,2.85309,4
51,2363.27,1.3976,1
52,2407.68,1.30007,2
54,2542.26,1.22307,1
55,2588.02,1.23508,1
56,2657.33,1.36851,2
57,2712.74,1.34882,3
58,2768.81,1.24296,3
59,2825.34,1.35271,3
60,2888.48,2.5254,4
61,2938.39,1.34976,3
62,2995.47,1.54714,4
63,3055.02,2.023,2
64,3138.46,1.83878,2
65,3185.57,1.74861,2
67,3327.55,2.1703,2
68,3375.33,2.07401,2
69,3466.04,2.51673,5
70,3534.14,2.24611,3
71,3596.38,2.24556,4
72,3661.32,2.33949,2
73,3721.66,2.45379,3
74,3787.15,3.05158,1
75,3850.85,2.86741,3
76,3919.04,2.91043,1
77,4007.87,2.909,2
82,4384.7,3.47424,2
83,4454.68,3.92579,2
84,4522.65,4.45811,2
85,4596.67,4.36147,2
86,4667.99,4.25147,2
87,4740,3.82453,1
94,5330.81,6.50504,1
95,5406.18,7.29814,2
96,5483.56,7.215,2
