partial,f,sigma,count
1,87.4786,0.225679,5
2,174.957,0.264554,5
3,261.09,0.180967,5
4,348.569,0.400229,4
5,436.047,0.205848,5
6,523.526,0.190715,3
7,611.005,0.20139,5
8,698.932,0.159775,3
9,787.308,0.207263,5
10,874.786,0.192719,5
11,963.342,0.24665,5
12,1051.09,0.302934,5
13,1139.91,0.28259,5
14,1228.74,0.250518,5
15,1317.56,0.302563,5
16,1407.73,0.403805,5
17,1496.56,0.340402,5
18,1586.73,0.340852,5
19,1677.44,0.382793,5
20,1768.41,0.554644,5
21,1861.28,0.36202,2
28,2546.3,0.675683,1
29,2635.13,0.703134,1
36,3353.8,1.27212,2
37,3444.64,0.675011,2
39,3668.72,1.07011,1
40,3773.69,1.6979,2
41,3875.08,1.45432,3
42,3979.6,1.43683,2
43,4082.34,1.39602,3
44,4184.17,1.72276,4
45,4293.18,1.37906,3
48,4636.37,1.33646,1
55,5490.97,3.26225,2
56,5605.36,3.33253,2
57,5723.79,2.18807,1
58,5839.09,3.02383,3
66,6918.89,3.38156,2
67,7050.78,3.54015,2
68,7173.25,4.43731,2
69,7306.48,4.81653,1
76,8353.54,5.61918,1
77,8500.23,6.40701,1
78,8630.78,6.9355,1
86,9914.69,8.50426,1
88,10226.9,8.21151,1
