partial,f,sigma,count
1,45.7581,0.248177,5
2,91.5161,0.24023,5
3,138.62,0.239479,5
4,184.378,0.25092,5
5,230.136,0.222457,5
6,277.24,0.297351,5
7,322.998,0.191381,1
8,370.102,0.176649,1
9,415.86,0.204833,5
10,461.887,0.210877,5
11,508.722,0.167381,5
12,555.826,0.263682,5
13,601.584,0.233183,5
14,648.688,0.257391,5
15,695.792,0.153827,1
16,742.896,0.184555,5
17,789.999,0.198535,2
18,837.103,0.260326,5
19,885.553,0.247665,5
20,932.657,0.262921,5
21,981.107,0.381768,5
22,1029.56,0.194624,5
23,1079.35,0.305221,4
25,1204.51,1.1652,3
26,1250.61,0.770553,4
27,1297.38,0.732834,4
28,1344.48,0.670789,2
29,1391.58,0.887108,1
33,1619.03,0.583399,5
34,1670.44,0.555401,5
35,1722.12,0.519005,5
36,1773.8,0.551957,5
37,1824.94,0.501274,5
38,1877.43,0.544902,5
39,1929.91,0.541201,4
40,1982.4,0.638133,2
41,2056.42,0.759094,3
42,2104.87,0.833281,2
47,2414.41,0.89022,2
48,2470.04,0.75498,3
49,2526.11,0.901289,2
50,2581.63,0.934995,4
51,2639.5,0.922847,4
52,2697.03,0.973204,3
57,3047.62,1.25508,4
58,3108.86,1.19095,4
59,3166.05,1.4108,4
60,3229.31,1.27625,4
61,3290.54,1.28371,4
63,3443.52,1.68689,3
65,3598.74,1.87289,3
66,3665.02,1.73939,4
67,3729.28,2.36892,3
68,3793.88,2.14921,4
69,3863.86,2.3561,3
70,3943.27,1.96141,3
73,4193.59,2.56515,3
74,4261.33,2.63359,3
75,4336.25,2.57961,1
76,4403.54,2.95688,2
77,4498.42,2.9784,2
80,4753.45,3.75208,2
81,4825.46,3.77294,2
82,4902.84,3.54139,2
83,4980.23,4.1941,2
85,5162.59,3.40601,1
86,5257.47,4.58187,2
87,5347.64,5.14864,2
88,5425.02,4.48908,2
89,5512.5,3.76759,2
90,5589.88,4.43864,2
94,5976.81,3.18054,1
