partial,f,sigma,count
1,48.4497,0.268912,5
2,98.2452,0.237248,5
3,146.695,0.263644,5
4,195.145,0.203851,5
5,244.94,0.203454,5
7,341.84,0.193333,5
8,391.635,0.234811,5
9,440.533,0.142134,3
10,489.88,0.29937,5
11,539.676,0.154585,5
12,588.126,0.224532,5
13,637.921,0.250447,5
14,687.717,0.200419,5
15,737.512,0.216974,5
16,787.308,0.200044,5
17,837.103,0.218935,5
18,886.899,0.23897,5
19,936.964,0.317524,5
20,987.836,0.282898,5
21,1038.98,0.263968,5
22,1091.46,0.284363,5
23,1143.95,0.254832,5
25,1274.5,0.76159,3
26,1325.64,0.740435,4
27,1375.43,0.616554,4
28,1425.23,0.653825,4
29,1474.58,0.585849,3
30,1524.82,0.833738,1
32,1658.06,0.476376,3
33,1713.24,0.423216,5
34,1766.53,0.531558,5
35,1819.56,0.471656,5
36,1873.93,0.49655,5
37,1928.57,0.536457,5
38,1983.75,0.481407,5
39,2039.26,0.519145,4
41,2177.55,0.820546,3
42,2228.69,0.716026,1
43,2279.83,0.712336,2
45,2431.91,0.777451,3
46,2488.77,0.7316,4
47,2548.99,0.844963,1
48,2604.62,0.861815,3
49,2665.41,0.820706,2
50,2725.3,1.04522,2
51,2793.93,0.801445,1
54,3002.54,1.3539,3
55,3083.73,1.42533,3
56,3147.21,1.51152,4
57,3208.11,1.21763,4
58,3272.15,1.29283,3
59,3361.53,1.26269,4
60,3426.47,1.47305,2
62,3587.97,1.66838,3
63,3658.4,1.48126,3
64,3719.86,2.02836,3
65,3797.02,1.89416,3
66,3859.83,1.62325,2
67,3966.15,2.0065,2
68,4033.1,2.03525,4
70,4196.96,2.87,2
71,4260.88,2.67592,3
72,4336.7,3.00391,3
74,4522.65,2.78079,2
75,4578.5,2.37689,2
76,4687.51,3.12622,2
77,4760.18,3.43467,3
78,4834.2,3.6136,3
79,4918.99,4.01407,1
82,5208.34,4.83646,2
83,5294.48,3.86877,3
84,5378.37,4.28305,3
85,5450.59,3.59914,2
88,5756.09,4.15956,1
89,5848.96,5.22828,1
90,5916.25,5.39451,1
91,6013.15,4.78719,1
94,6329.42,7.33969,1
95,6414.2,7.11468,1
96,6515.14,6.29126,2
