partial,f,sigma,count
1,207.257,0.282411,3
2,415.86,0.247854,5
3,623.117,0.283381,5
4,831.72,0.350866,5
5,1040.32,0.345992,5
6,1250.27,0.36151,5
7,1461.57,0.482125,5
8,1674.21,0.505807,5
9,1886.85,0.523898,5
10,2100.83,0.570469,5
11,2317.51,0.660104,3
12,2535.53,0.886832,5
13,2756.25,0.908556,5
14,2977.3,0.916542,4
15,3201.99,1.0484,5
16,3427.82,1.43664,4
17,3657.95,1.10279,4
18,3889.43,1.57692,4
19,4122.6,1.50171,4
20,4360.47,2.10383,4
21,4601.38,2.60953,3
22,4844.97,2.58618,4
23,5091.93,2.25561,4
24,5339.34,2.38388,3
25,5595.94,3.75447,2
26,5852.55,3.30407,3
27,6110.72,3.9565,2
28,6375.17,3.33366,2
29,6640.3,5.05012,1
30,6912.16,5.59964,2
