partial,f,sigma,r2
1,130.545,0.334065,0.866756
2,261.09,0.260428,0.743658
3,391.635,0.440521,0.814313
4,523.526,0.459701,0.912974
5,654.071,0.328704,0.81103
7,917.853,0.279974,0.720465
8,1049.74,0.464985,0.869667
9,1181.63,0.460125,0.865192
10,1314.87,0.33625,0.790514
11,1448.11,0.653939,0.913069
12,1585.38,0.348591,0.756414
21,2894.87,1.4379,0.905019
25,3530.1,1.40419,0.950207
26,3676.79,1.15383,0.967731
27,3826.18,0.95045,0.880445
34,5049.54,2.29525,0.956541
40,6198.87,2.84891,0.925053
41,6375.17,2.90813,0.906884
46,7435.68,5.33467,0.839219
51,8556.76,6.9791,0.962169
55,9552.67,7.89417,0.910852
56,9766.65,9.40944,0.930119
