partial,f,sigma,r2
1,68.6371,0.329837,0.833489
2,138.62,0.459899,0.959082
3,207.257,0.225595,0.607835
4,277.24,0.248943,0.804498
5,345.877,0.309799,0.809308
7,484.497,0.228138,0.843423
8,554.48,0.208034,0.728365
9,624.463,0.205536,0.661634
10,693.1,0.271481,0.855076
11,763.083,0.222316,0.82683
12,833.066,0.198546,0.752754
13,903.049,0.219811,0.696696
14,974.377,0.238329,0.773481
15,1044.36,0.289382,0.808275
16,1114.34,0.307258,0.787267
17,1185.67,0.302939,0.868093
18,1255.65,0.333611,0.910671
19,1328.33,0.380866,0.806752
20,1401,0.3738,0.865814
21,1475.02,0.348983,0.917035
27,1947.41,0.727482,0.932039
28,2017.39,0.709119,0.897075
33,2421.14,0.628702,0.927004
34,2499.2,0.651327,0.93871
35,2575.91,0.608694,0.958806
36,2651.28,0.623018,0.917151
37,2729.33,0.667464,0.962514
38,2807.39,0.628012,0.959714
39,2886.79,0.624992,0.975635
41,3081.94,0.675299,0.916451
42,3154.61,0.828182,0.879796
43,3229.98,0.783956,0.911725
46,3519.33,0.995111,0.961576
47,3600.08,1.26922,0.899428
48,3682.18,1.13262,0.936782
49,3769.66,0.971205,0.968216
50,3881.36,1.16094,0.77926
51,3955.38,1.16937,0.767226
54,4250.12,1.42232,0.953513
55,4357.78,1.33757,0.934792
56,4446.61,1.3244,0.922
57,4532.74,1.51381,0.962758
58,4630.98,1.24467,0.912383
62,5068.38,2.37768,0.937677
63,5163.93,2.11201,0.95336
64,5251.41,2.80745,0.956566
65,5379.26,2.61591,0.946974
68,5687.46,2.34547,0.913825
70,5921.63,2.20177,0.869931
71,6025.26,2.74025,0.922327
75,6509.76,3.84034,0.97487
76,6610.69,4.52343,0.966836
81,7235.16,5.60343,0.936862
82,7350.9,1.73943,0.656378
88,8108.6,3.69035,0.790562
