partial,f,sigma,r2
1,72.6746,0.61281,0.934668
2,146.695,0.173442,0.653825
3,219.37,0.215142,0.629133
5,367.41,0.150538,0.526022
7,514.105,0.199893,0.668751
9,660.8,0.184715,0.71364
10,734.821,0.252702,0.688717
11,808.841,0.144165,0.544117
12,882.861,0.23445,0.688011
13,956.882,0.290639,0.87685
14,1032.25,0.241706,0.742245
15,1106.27,0.245769,0.773653
16,1181.63,0.468212,0.903139
17,1257,0.320059,0.940616
18,1331.02,0.475405,0.946021
19,1407.73,0.410372,0.969643
20,1485.79,0.338871,0.921708
21,1563.85,0.247797,0.937622
27,2063.15,0.771325,0.886929
28,2138.52,0.731494,0.909442
34,2649.93,0.612718,0.892588
35,2733.37,0.578831,0.975501
36,2815.47,0.640719,0.971507
37,2897.56,0.586675,0.973802
38,2978.31,0.643436,0.966128
39,3061.75,0.692417,0.976916
40,3149.23,0.696294,0.905946
42,3345.72,1.36556,0.925318
43,3422.43,1.71497,0.891794
47,3827.53,1.31678,0.828275
48,3913.66,1.47145,0.896314
49,4006.52,1.03372,0.975448
50,4094,1.2041,0.909387
51,4188.21,1.02386,0.95262
54,4508.51,2.17193,0.914297
56,4726.54,1.91137,0.906011
57,4826.13,1.4546,0.964319
58,4916.3,1.7853,0.977399
59,5019.93,1.77121,0.957986
64,5593.25,2.79437,0.931133
65,5692.84,3.11351,0.970892
66,5792.43,1.84538,0.931659
67,5908.17,3.23984,0.958117
68,6040.06,2.56748,0.919351
71,6408.82,3.95589,0.944426
72,6523.21,4.70858,0.942509
73,6621.46,4.58502,0.955929
74,6745.28,4.84144,0.931004
75,6877.17,1.75389,0.738063
76,7005.02,5.34673,0.934187
78,7274.19,2.2327,0.750113
80,7520.47,5.62065,0.913805
85,8189.35,4.00727,0.813299
93,9315.8,1.84177,0.568635
