partial,f,sigma,r2
1,78.0579,0.262403,0.958645
2,154.77,0.236477,0.952133
3,232.828,0.139892,0.626566
4,310.886,0.171908,0.724238
5,388.943,0.183343,0.582399
6,467.001,0.214471,0.729385
7,545.059,0.230098,0.868336
8,623.117,0.232785,0.76942
9,701.175,0.135702,0.595332
10,779.233,0.217963,0.75237
11,857.291,0.228995,0.753351
12,936.694,0.23761,0.796242
13,1014.75,0.236909,0.784275
14,1094.16,0.205748,0.661334
15,1172.21,0.351445,0.917846
16,1251.62,0.294947,0.721344
17,1332.37,0.50091,0.969345
18,1411.77,0.28974,0.874652
19,1492.52,0.310478,0.906791
37,3076.56,0.663537,0.851824
38,3165.38,1.36516,0.807929
