partial,f,sigma,r2
1,45.7581,0.23285,0.889984
2,91.5161,0.208421,0.905025
3,138.62,0.282012,0.967718
4,184.378,0.231529,0.892114
5,230.136,0.222723,0.803437
6,277.24,0.270093,0.952724
9,415.86,0.21562,0.858991
10,461.618,0.209176,0.740264
11,508.722,0.15893,0.695559
12,555.826,0.277477,0.825006
13,601.584,0.216462,0.79808
14,648.688,0.236644,0.698681
16,742.896,0.189145,0.678071
18,837.103,0.264385,0.812257
19,885.553,0.245441,0.779735
20,932.657,0.229094,0.53217
21,981.107,0.37664,0.892638
22,1029.56,0.191175,0.751023
33,1619.03,0.557177,0.934114
34,1670.17,0.513911,0.920816
35,1721.31,0.511372,0.965089
36,1773.8,0.52197,0.872477
37,1824.94,0.476609,0.984604
38,1877.43,0.550961,0.97342
