partial,f,sigma,r2
1,98.2452,0.240683,0.940149
4,391.635,0.244774,0.727712
5,489.88,0.229874,0.885112
6,588.126,0.240963,0.792018
7,686.371,0.217162,0.855066
8,784.616,0.133359,0.621363
9,884.207,0.185623,0.646146
10,982.452,0.253685,0.693169
11,1082.04,0.221037,0.725807
12,1181.63,0.275555,0.811617
13,1281.23,0.27758,0.770725
14,1380.82,0.286687,0.861953
15,1481.75,0.347135,0.902207
16,1582.69,0.36608,0.935091
17,1683.63,0.370342,0.957564
18,1784.56,0.427208,0.923495
19,1886.85,0.440177,0.939811
21,2091.41,0.480344,0.967285
22,2195.04,0.597594,0.883082
