partial,f,sigma,r2
2,123.816,0.266419,0.973237
3,184.378,0.273659,0.758347
4,246.286,0.232502,0.713544
5,308.194,0.219225,0.806072
6,370.102,0.167252,0.737879
9,555.826,0.212817,0.773283
10,617.734,0.248096,0.868894
12,742.896,0.182667,0.672784
13,804.803,0.252204,0.693906
14,866.711,0.173372,0.687808
15,929.965,0.176515,0.658867
16,993.219,0.234267,0.777057
17,1056.47,0.283439,0.87398
18,1118.38,0.268478,0.860089
19,1182.98,0.27366,0.812986
20,1247.58,0.272,0.759192
21,1312.18,0.351307,0.951988
34,2227.34,0.376285,0.932935
35,2295.98,0.428399,0.960312
37,2433.25,0.520356,0.950604
38,2501.89,0.536222,0.983921
46,3139.81,1.25345,0.897589
48,3287.85,1.38373,0.838474
49,3364.56,1.42933,0.800982
50,3437.24,1.3935,0.821178
59,4225.89,1.28376,0.887254
68,5071.07,3.36091,0.8299
