partial,f,sigma,r2
1,43.0664,0.284103,0.902543
2,87.4786,0.227575,0.929723
3,130.545,0.235729,0.922155
4,173.611,0.25723,0.881314
5,218.024,0.193976,0.647902
6,261.09,0.210286,0.920034
7,305.502,0.230624,0.79769
9,392.981,0.141199,0.619853
11,480.46,0.249209,0.837067
12,524.872,0.152081,0.534576
13,567.938,0.247465,0.809426
14,612.35,0.308983,0.84609
15,656.763,0.317641,0.82999
16,701.175,0.249532,0.786414
17,745.587,0.264236,0.850409
18,789.999,0.173223,0.770615
19,835.757,0.193803,0.725665
20,880.17,0.211471,0.740795
21,925.928,0.291239,0.814267
22,971.686,0.384293,0.84158
23,1018.79,0.323315,0.940354
24,1065.89,0.320539,0.911731
27,1224.7,0.824919,0.838656
28,1257,0.611848,0.795977
34,1580,0.611366,0.896216
35,1628.45,0.56663,0.912407
36,1678.24,0.54542,0.906731
37,1726.69,0.587714,0.956316
38,1776.49,0.513714,0.972732
39,1826.28,0.590335,0.943819
40,1882.81,1.28184,0.999765
41,1927.22,0.617048,0.947595
42,1977.02,0.639246,0.967241
49,2395.57,0.763311,0.933891
50,2449.4,0.790992,0.91872
51,2503.23,0.889254,0.978667
52,2558.41,0.933845,0.926591
53,2613.59,0.958466,0.826642
54,2668.77,1.02282,0.958274
60,3067.14,1.77528,0.872247
61,3127.7,1.58616,0.957206
62,3186.91,1.89194,0.910577
64,3308.04,2.23985,0.927536
73,3932.5,2.49509,0.813327
79,4388.74,2.38497,0.897907
