partial,f,sigma,r2
1,117.087,0.18641,0.818015
3,349.915,0.242113,0.840438
4,465.656,0.253114,0.745803
5,582.742,0.199683,0.67412
6,699.829,0.175721,0.673718
7,816.916,0.228002,0.81859
8,934.003,0.218341,0.769036
9,1052.44,0.271373,0.865074
10,1169.52,0.369643,0.907066
11,1289.3,0.317907,0.791708
24,2995.81,0.71316,0.939106
25,3123.66,0.829408,0.935526
26,3289.2,0.835938,0.546364
27,3410.32,0.931095,0.608269
31,4038.82,2.07491,0.935988
32,4170.71,2.01864,0.886794
37,5001.09,2.44078,0.814374
42,5874.53,3.01282,0.842345
