partial,f,sigma,r2
1,52.4872,0.205378,0.755783
2,103.629,0.271882,0.932555
3,154.77,0.26222,0.791009
4,207.257,0.238738,0.809423
7,363.373,0.177993,0.543339
8,414.514,0.134673,0.72891
9,467.001,0.164221,0.633327
10,519.489,0.190317,0.752935
11,570.63,0.171084,0.719437
12,623.117,0.175989,0.576908
13,675.604,0.286165,0.834297
14,728.091,0.22784,0.731184
15,780.579,0.241231,0.816083
16,834.412,0.232939,0.81548
17,886.899,0.197505,0.714874
18,939.386,0.236637,0.843478
19,991.873,0.314293,0.860713
20,1047.05,0.234803,0.840619
21,1102.23,0.284525,0.818796
26,1403.7,0.674258,0.899109
27,1441.38,14.3986,0.997991
28,1508.67,0.756027,0.897499
32,1754.96,0.47932,0.967104
33,1811.48,0.433548,0.928164
34,1868.01,0.433215,0.937842
35,1925.88,0.471856,0.960857
36,1981.05,0.506809,0.975166
37,2037.58,0.484942,0.995972
38,2098.14,0.549025,0.967949
43,2444.02,0.650149,0.966921
44,2505.93,0.715495,0.981853
45,2565.14,0.747708,0.980062
46,2629.74,0.745144,0.933705
52,3056.37,1.51291,0.881745
53,3119.62,1.57738,0.879238
54,3189.61,1.80034,0.926818
55,3247.48,1.9456,0.932104
56,3320.15,1.54871,0.801824
60,3640.46,1.95397,0.92299
61,3715.82,1.43126,0.869054
62,3773.69,1.87166,0.822029
63,3851.75,1.95163,0.89086
67,4186.86,2.52259,0.877897
68,4270.3,2.42193,0.881641
69,4342.98,2.24079,0.885118
72,4616.18,3.08401,0.85241
73,4703.66,3.55692,0.93201
74,4764.22,3.23957,0.931294
75,4855.74,3.90406,0.915983
80,5317.36,1.75216,0.714197
81,5396.76,4.09736,0.906867
