partial,f,sigma,r2
1,26.9165,0.217956,0.919481
2,55.1788,0.251436,0.959898
3,82.0953,0.226442,0.934779
4,109.012,0.146022,0.666048
5,135.928,0.169906,0.805602
6,164.191,0.226164,0.859728
8,219.37,0.124428,0.558644
9,246.286,0.123231,0.518928
10,274.548,0.132948,0.559331
11,302.811,0.123808,0.616149
12,331.073,0.120576,0.569279
13,357.99,0.183877,0.887527
14,386.252,0.215785,0.917618
15,415.86,0.311416,0.793305
16,442.776,0.203614,0.812505
17,472.385,0.183625,0.780648
18,501.993,0.200791,0.791659
19,530.255,0.187297,0.830141
20,559.863,0.208816,0.814541
21,589.471,0.137062,0.652969
22,619.08,0.226834,0.936317
23,648.688,0.24013,0.95274
24,679.642,0.281919,0.974906
25,710.596,0.263223,0.947258
26,741.55,0.25752,0.953197
27,771.158,0.291869,0.978831
28,803.458,0.295001,0.961419
29,835.757,0.376825,0.991309
30,866.711,0.35834,0.987897
31,899.011,0.365436,0.973209
32,931.311,0.413854,0.956996
33,964.957,0.543345,0.971353
34,997.256,0.536489,0.99483
35,1030.9,0.473145,0.997882
36,1064.55,0.491385,0.995353
37,1096.85,0.522827,0.998351
38,1119.73,1.07369,0.999029
39,1149.33,1.07186,0.999975
40,1178.94,1.07144,0.999966
41,1208.55,0.734799,0.990448
42,1240.85,0.715261,0.988323
43,1275.84,0.807224,0.990242
44,1312.18,0.805424,0.987416
45,1349.86,0.975776,0.989894
46,1386.2,0.970138,0.994777
47,1425.23,1.0721,0.999738
48,1462.91,1.09324,0.98571
49,1500.6,1.25706,0.993521
50,1539.62,1.25488,0.975532
51,1580,1.33707,0.961053
52,1620.37,1.29782,0.962241
53,1659.4,1.48755,0.99332
54,1699.78,1.42057,0.992693
55,1733.42,1.49967,0.999957
56,1776.49,1.73882,0.999856
60,1912.42,2.23816,0.973012
61,1955.48,2.61308,0.988256
62,1999.9,2.5066,0.999814
63,2044.31,1.91841,0.938996
64,2088.72,2.6089,0.999976
65,2135.82,2.55436,0.997252
66,2181.58,2.49832,0.989906
67,2227.34,2.49542,0.981459
68,2274.44,2.9937,0.998526
69,2318.86,2.81507,0.99648
74,2519.38,3.30699,0.99559
75,2567.83,3.50821,0.979173
76,2618.98,3.17731,0.976986
77,2666.08,2.63664,0.961003
86,3106.16,4.8332,0.99666
87,3157.31,4.9503,0.999139
88,3213.83,6.38538,0.952072
89,3269.01,5.85141,0.987982
90,3328.23,4.94369,0.907414
91,3387.44,4.21192,0.779533
92,3442.62,4.22955,0.964232
93,3484.34,4.48839,0.969515
94,3550.29,6.51554,0.931669
