partial,f,sigma,r2
1,82.0953,0.314699,0.950925
2,164.191,0.219217,0.85439
3,247.632,0.289855,0.900723
4,329.727,0.217961,0.904196
5,411.823,0.173348,0.814858
6,493.918,0.256582,0.72036
7,577.359,0.204803,0.809341
8,659.454,0.226073,0.80974
9,742.896,0.256389,0.860236
10,824.991,0.218878,0.768525
11,908.432,0.275879,0.82842
12,991.873,0.252057,0.909491
13,1075.31,0.240914,0.847118
14,1158.76,0.431693,0.938565
15,1243.54,0.306739,0.80164
16,1326.98,0.599021,0.903921
17,1411.77,0.283183,0.892772
18,1496.56,0.296083,0.878341
19,1581.34,0.328721,0.882105
36,3162.69,0.861143,0.848842
37,3264.97,0.64762,0.970231
38,3360.53,0.689976,0.949102
39,3452.04,0.820415,0.955405
41,3644.49,1.47859,0.913455
42,3738.7,0.978507,0.956315
43,3847.71,1.47098,0.911513
51,4730.58,1.48413,0.965033
52,4830.17,2.01631,0.897476
53,4936.49,2.19794,0.846017
54,5046.84,2.46874,0.881355
61,5900.1,3.95747,0.912766
62,6022.57,4.31478,0.921954
