partial,f,sigma,count,meanR2,meanFittedFrameCount
1,110.358,0.231537,5,0.857504,1578.4
2,219.37,0.367277,5,0.920911,1366.4
3,329.727,0.255904,5,0.965309,1599
4,440.085,0.212642,4,0.715414,1630.5
5,550.443,0.262391,5,0.912195,1588.2
6,660.8,0.217688,5,0.830032,1612.4
7,771.158,0.281965,3,0.775381,1490
8,881.516,0.23398,5,0.728001,1528
9,991.873,0.298072,4,0.764197,1422
10,1103.58,0.242206,5,0.754305,1565
11,1216.63,0.373217,5,0.872004,1283.2
12,1331.02,0.307787,5,0.830731,1373
15,1691.7,4.36857,2,0.98232,84.5
20,2318.18,2.58585,2,0.993677,208.5
21,2429.21,3.12568,1,0.985844,194
23,2701.41,0.257821,4,0.674078,1238.25
24,2819.5,0.61163,4,0.935427,652
25,2943.32,0.526058,1,0.834906,671
26,2939.28,0.320426,4,0.857056,1188.75
29,3131.74,0.349517,5,0.805481,1333.2
30,3422.43,0.556025,4,0.866817,1083.75
33,3544.9,0.562707,5,0.889366,1039
34,3668.72,0.676209,5,0.853012,917.2
35,4095.35,0.662962,5,0.84724,821.4
36,5223.95,1.3573,5,0.90644,508.2
46,5497.7,1.12307,5,0.809479,645.6
48,5636.32,1.44162,4,0.817487,588
49,6638.96,2.04556,3,0.880321,355.667
55,7393.96,3.32352,2,0.887258,316.5
59,8347.48,4.26842,2,0.864724,228
63,8511,4.08679,1,0.874856,285
64,8840.73,2.81717,2,0.73163,412.5
66,10410,5.03113,1,0.840938,219
73,10957.7,2.80561,1,0.673318,306
76,11147.5,2.52766,1,0.654367,305
