partial,f,sigma,count,meanR2,meanFittedFrameCount
1,232.828,0.353089,5,0.957084,1178.8
2,465.656,0.422895,5,0.83792,1145
3,699.829,0.233764,1,0.698086,1257
4,934.003,0.332447,4,0.730482,1084
5,1168.18,0.29173,5,0.81484,1157.8
6,1405.04,0.418958,5,0.809542,973.6
7,1641.91,0.299499,4,0.75782,1050.25
8,1885.5,0.422893,3,0.880737,933
13,3102.13,0.484876,5,0.907119,1070.8
15,3403.32,0.588305,5,0.911545,881.2
16,3606.48,0.663829,4,0.883165,788.25
17,3863.86,0.792668,5,0.810869,583.6
18,4494.52,1.21397,5,0.832967,438
21,4923.03,1.3904,4,0.879271,547.5
23,5197.58,1.77676,5,0.866708,421.4
24,5474.82,2.34521,5,0.868878,303
25,6042.75,2.47619,5,0.854581,323.6
27,7231.12,3.18218,4,0.830475,294.25
30,7854.68,4.95177,3,0.855796,197
32,8176.34,5.18008,3,0.857613,189.333
33,8829.96,7.14194,2,0.908093,158.5
35,10204,5.75843,1,0.795371,179
39,10563.4,4.74215,1,0.710378,180
40,11298.2,3.76711,1,0.653289,197
