partial,f,sigma,count,meanR2,meanFittedFrameCount
1,493.918,0.444233,5,0.830569,850.4
2,989.182,0.418575,5,0.751786,849.6
3,1487.14,0.322358,4,0.598689,850.5
4,1990.48,0.523118,5,0.873441,847.2
5,2499.2,0.593961,5,0.888988,839.2
6,3014.65,0.857032,5,0.929724,717.4
8,3538.17,1.1919,5,0.956988,529.8
9,4073.81,1.67497,5,0.941929,376.2
10,5063.8,4.13601,5,0.874856,165
11,5176.04,7.47054,1,0.894476,151
12,5894.38,6.13902,4,0.903914,143.25
13,6334.13,7.85844,2,0.904958,132
14,7656.85,9.09836,3,0.873685,115.667
15,7558.15,6.62153,1,0.843182,154
17,8196.08,6.49009,1,0.767391,148
18,8851.49,5.4078,2,0.698096,172
19,9528.44,6.22901,1,0.734381,141
20,10225.6,3.08005,1,0.564007,205
