partial,f,sigma,count,meanR2,meanFittedFrameCount
1,523.526,0.729621,5,0.851475,549.8
2,1048.4,0.571673,5,0.63506,550.8
3,1577.31,0.508195,5,0.517373,549.4
4,2110.25,0.628679,5,0.838562,550.2
5,2650.47,0.722936,5,0.841194,549.6
6,3199.03,0.958559,5,0.865713,551.6
8,4678.36,2.5907,5,0.920482,241
10,4910.24,4.21183,2,0.876811,193.5
11,5507.79,5.47866,4,0.909607,138.75
12,6122.16,7.39766,4,0.915276,131.25
13,7403.38,8.2339,3,0.878992,127.333
16,8416.79,13.7033,2,0.958091,82
17,8761.32,6.33801,1,0.728469,136
18,10205.4,6.11838,1,0.680778,136
