partial,f,sigma,count,meanR2,meanFittedFrameCount
1,554.48,0.642796,5,0.785825,550.2
2,1110.31,0.610161,5,0.718889,549.4
3,1671.51,0.502308,5,0.617238,551.2
4,2237.03,0.81707,5,0.877813,543.8
5,2811.43,0.911965,5,0.887499,543.4
6,3395.52,1.2,5,0.957315,542.6
8,3990.37,1.94609,5,0.969493,344.2
9,4848.47,3.23756,5,0.929189,199.2
10,5224.49,4.81351,3,0.90584,164.667
11,5865.11,6.02237,5,0.90217,130.2
12,6524.56,7.7878,4,0.905805,116.75
13,7508.36,8.64291,3,0.842354,159.667
15,7905.38,10.2175,2,0.903059,93
16,8627.41,12.1745,2,0.894879,87.5
17,9373.67,7.7929,1,0.77756,123
