partial,f,sigma,count,meanR2,meanFittedFrameCount
1,146.695,0.225066,5,0.785234,1265.8
2,293.39,0.243692,5,0.871438,1265.2
3,440.085,0.315249,5,0.886205,1205
4,586.78,0.382382,5,0.901636,1168.6
5,734.821,0.249011,5,0.78709,1264
6,882.861,0.294933,5,0.82114,1261.4
7,1030.9,0.491448,5,0.911682,892
8,1178.94,0.306734,5,0.807258,1215.8
9,1326.98,0.417195,5,0.766829,1070.8
10,1477.72,0.280261,4,0.674982,1176.75
11,1627.1,0.243594,5,0.876897,1261.6
12,1781.87,0.315662,4,0.853017,1123.25
20,2827.58,0.349738,5,0.719934,1109.8
21,3016.89,0.359715,3,0.878908,1289
23,3176.15,0.392996,5,0.812699,1251.2
24,3499.41,0.505456,5,0.904088,936.6
26,3729.28,0.593398,5,0.883484,1062
27,3994.41,0.535373,4,0.893587,950.5
30,4851.7,1.04374,5,0.843157,614.2
35,5710,1.32723,4,0.876992,492.5
36,5937.78,2.34287,1,0.73205,338
41,6124.85,1.8167,4,0.876235,410
42,6642.1,2.1305,3,0.860652,311.333
43,7297.06,2.49112,2,0.741467,195.5
47,7500.28,3.2106,3,0.847003,234.333
48,8767.38,4.66882,2,0.895994,180.5
54,9210.83,5.28044,2,0.862428,179
56,9434.23,3.8207,1,0.844494,262
