partial,f,sigma,count,meanR2,meanFittedFrameCount
1,310.886,0.410191,5,0.861541,834
2,621.771,0.75022,4,0.806653,636.5
3,934.003,1.29605,1,0.965167,407
4,1247.58,0.350018,5,0.890895,830
5,1563.85,0.495113,5,0.742461,768.4
6,1881.46,0.58896,5,0.844201,599.4
7,2200.42,0.488155,5,0.84708,768.4
8,2524.77,0.53041,5,0.69474,604.2
9,2850.46,0.439244,5,0.734879,711
11,3181.53,0.766951,5,0.949888,799.6
12,3515.3,0.817236,5,0.813241,588.6
13,3854.44,1.01462,5,0.871064,496.4
14,4479.98,1.43598,5,0.895416,385.4
15,4902.17,2.26754,2,0.854371,314
18,5545.47,2.77658,4,0.860346,275.25
19,6385.94,4.30297,2,0.84974,151
22,6777.58,6.02305,2,0.888205,161
23,7174.59,6.19967,2,0.91579,183
24,7991.51,6.42643,1,0.879665,176
26,8408.72,5.95284,1,0.843374,177
