partial,f,sigma,count,meanR2,meanFittedFrameCount
1,40.3748,0.173311,5,0.957874,1707.2
2,82.0953,0.145348,5,0.917218,1704.6
3,122.47,0.118614,5,0.803556,1706
4,164.191,0.128008,5,0.871989,1706.2
5,205.911,0.102456,5,0.699327,1706
6,246.286,0.103854,5,0.710254,1706.6
8,328.381,0.0959609,5,0.695497,1707.8
9,370.102,0.149457,5,0.919734,1703
10,411.823,0.132733,5,0.83123,1703.6
11,453.543,0.156215,5,0.892042,1703.2
12,495.264,0.15866,5,0.908789,1703
13,536.984,0.183527,5,0.940302,1700.6
14,578.705,0.184048,5,0.953157,1699.4
15,620.425,0.184013,5,0.910743,1705.6
16,662.146,0.175272,5,0.862526,1703.8
17,705.212,0.217731,5,0.968437,1706.6
18,746.933,0.188579,5,0.935957,1701
19,789.999,0.232785,5,0.979896,1696.6
20,832.797,0.259036,5,0.992303,1704
21,875.056,0.265464,5,0.982216,1694.6
22,918.122,0.298306,5,0.994515,1690.2
23,961.996,0.300463,5,0.993594,1691.2
24,1005.33,0.319554,5,0.968077,1671.2
25,1049.74,0.342949,5,0.984736,1547.8
26,1094.16,0.357902,5,0.993708,1540.8
27,1155.79,1.75127,5,0.989531,311.6
28,1196.44,0.591908,5,0.867942,800
29,1238.16,0.420811,2,0.88117,1082
30,1278.53,0.569389,4,0.87322,785.5
33,1442.72,1.10623,4,0.935476,474
34,1484.45,1.24069,4,0.920026,411.25
35,1524.82,0.8029,3,0.911182,642.333
36,1588.07,0.60112,3,0.995758,985
37,1637.87,0.646571,5,0.987381,884.8
38,1687.66,0.636031,5,0.983608,841.2
39,1733.42,0.732418,5,0.94243,606.4
40,1783.22,0.799517,5,0.939371,670.2
41,1831.67,0.737119,5,0.977169,719
42,1880.12,0.827339,5,0.99558,706.2
43,1929.64,0.802602,5,0.984984,682.6
44,1979.17,0.878476,5,0.990681,675.2
45,2028.16,0.871127,5,0.96728,607.6
46,2079.3,0.925403,4,0.981638,557.5
47,2130.44,1.00643,4,0.993696,551.75
48,2181.58,1.03402,4,0.99469,557
50,2310.78,2.7334,5,0.989895,199
51,2363.27,1.33393,2,0.998679,407
52,2407.68,1.31389,1,0.999022,425
54,2542.26,1.18888,1,0.999506,476
55,2586.68,1.19833,2,0.998613,465.5
56,2632.43,1.18484,2,0.99941,471.5
57,2713.18,1.33653,3,0.983821,387.333
58,2768.36,1.44575,3,0.979374,387.667
59,2826.23,1.45192,3,0.983647,409.667
60,2888.48,2.5295,4,0.972612,208.75
61,2937.94,1.40049,4,0.967286,355.5
62,2888.14,1.86863,1,0.941458,348
63,3466.85,1.91337,1,0.917814,371
69,3290.54,1.7976,3,0.937644,425
70,3466.85,0.416069,1,0.606389,1387
79,4044.2,1.80263,4,0.845693,620.75
88,4955.33,2.62267,3,0.86089,405.667
96,4955.33,0.264529,1,0.621268,1626
