partial,f,sigma,count,meanR2,meanFittedFrameCount
1,174.957,0.22319,5,0.81903,1265.2
2,348.569,0.426283,5,0.932575,1046.2
3,523.526,0.262141,5,0.821947,1234
4,698.483,0.164767,5,0.70508,1269.8
5,874.786,0.341894,5,0.806902,1100.6
6,1049.74,0.321913,4,0.800191,1076.75
7,1226.05,0.439543,1,0.654199,818
8,1403.7,0.271637,3,0.799661,1263
9,1581.34,0.374688,4,0.774913,1029.75
10,1760.34,0.325751,5,0.84913,1118
11,1939.33,0.342321,5,0.726505,1100.6
12,2121.02,0.34026,5,0.842702,1176
13,2304.05,0.344936,4,0.737278,972
14,2489.78,0.355427,2,0.818048,1064
17,2670.12,0.320186,4,0.77125,1062.5
18,2855.84,0.510228,5,0.894506,772.8
19,3231.33,0.429242,5,0.788865,969.6
21,3422.43,0.728941,5,0.80326,660.4
22,3613.54,0.493841,5,0.81622,937.2
23,4201.67,0.761843,5,0.917751,835
27,5013.2,1.22193,5,0.800854,491.4
31,5862.41,1.90452,5,0.81943,335.8
35,6080.44,2.30421,4,0.86453,364.25
36,7377.37,3.16538,3,0.875826,237.333
39,7449.14,5.06278,1,0.83276,174
42,7930.95,4.5801,2,0.867803,175.5
44,8679.9,5.01399,2,0.904069,172
45,9185.26,5.36163,1,0.869984,214
49,9445.67,5.92353,2,0.849996,165
50,9711.47,7.73124,1,0.910103,128
51,10248.5,3.17871,1,0.670266,261
53,10798.9,4.18207,1,0.721978,231
55,11370.9,2.95269,1,0.638321,263
