partial,f,sigma,count,meanR2,meanFittedFrameCount
1,184.378,0.32835,5,0.928358,1203.2
2,370.102,0.425171,5,0.945691,1046
3,554.48,0.414138,4,0.888925,1057
4,740.204,0.316355,5,0.902488,1227
5,925.928,0.228483,5,0.744313,1234
6,1113,0.29453,5,0.865389,1218.6
7,1300.07,0.261658,4,0.726739,1253
8,1488.48,0.219775,5,0.859684,1263.2
9,1676.9,0.290804,5,0.853518,1201.6
10,1866.66,0.340423,4,0.781594,1097
11,2057.77,0.302679,5,0.867149,1142.2
12,2250.22,1.09816,3,0.770668,641.333
13,2444.02,0.409784,4,0.790265,899.75
14,2639.16,0.38571,5,0.803081,970
16,3033.49,0.359249,5,0.838801,1281.4
19,3845.02,0.599799,5,0.814029,780.4
23,4053.63,0.664666,5,0.880544,899.2
25,4263.57,1.04356,5,0.914976,690.2
26,4736.77,1.21794,5,0.887026,604.2
27,5275.63,1.52119,3,0.828533,558.333
28,6268.85,2.0229,1,0.870708,484
30,5350.1,1.28927,3,0.867834,424.333
31,5922.3,1.94472,4,0.88552,388.75
32,6268.85,2.40107,2,0.872699,311.5
35,6505.72,2.6138,3,0.876663,327
36,7235.6,3.4453,3,0.882412,261.667
40,7996,3.45784,3,0.805607,244
43,8520.42,4.60117,2,0.855085,204
45,8789.58,3.19188,1,0.776834,299
46,9334.64,3.01242,1,0.704711,294
48,10183.9,2.52331,1,0.636744,297
