partial,f,sigma,count,meanR2,meanFittedFrameCount
1,391.635,0.699333,5,0.946944,707.8
2,784.616,0.787151,1,0.794829,605
3,1178.94,0.838257,3,0.717255,641
4,1575.96,0.51305,5,0.939655,780.8
5,1975.67,0.356456,3,0.77416,835
6,2379.42,0.462337,5,0.781683,774.4
7,2787.2,0.574283,5,0.884499,726.6
8,3201.72,0.728771,2,0.939222,807
9,3201.72,0.70178,3,0.889718,716.667
10,3621.62,1.0656,5,0.912697,547.4
11,4575.27,1.7847,5,0.882791,314.6
12,4926.39,2.9486,2,0.809173,233
15,5377.92,3.30961,4,0.913979,218
16,6156.25,4.67071,3,0.90138,168.667
17,6313.27,3.54612,1,0.845064,297
18,6795.52,6.60086,3,0.918672,140
19,7796.37,8.03037,2,0.92266,115
21,8578.96,9.32717,2,0.88935,124.5
23,8844.76,3.74475,1,0.633338,211
24,9388.48,6.48048,1,0.821441,151
25,9946.99,6.57689,1,0.765637,148
26,10519,5.80555,1,0.723676,152
