partial,f,sigma,count,meanR2,meanFittedFrameCount
1,52.4872,0.300525,4,0.905061,1501
2,103.629,0.215869,5,0.882971,1697.4
3,154.77,0.217229,5,0.902977,1699
4,207.257,0.197872,5,0.872985,1696.4
5,258.937,0.239727,5,0.939863,1693.8
6,310.886,0.197271,5,0.911997,1700
7,363.373,0.184591,5,0.809265,1700.6
8,414.514,0.161972,3,0.757743,1685.67
9,467.001,0.205358,5,0.772694,1698.6
10,519.489,0.174671,5,0.730176,1700.6
11,570.63,0.179362,4,0.802679,1697.75
12,623.117,0.167082,5,0.792602,1700.2
13,675.604,0.162768,3,0.709047,1698.33
14,728.091,0.195151,5,0.789255,1691.2
15,780.579,0.178243,5,0.742572,1699.6
16,833.873,0.165881,5,0.671686,1699.2
17,886.899,0.177718,5,0.806438,1699.2
18,939.386,0.167825,4,0.654165,1694.75
19,993.219,0.256348,5,0.903737,1688
20,1047.05,0.330172,5,0.894871,1519
21,1102.23,0.276448,5,0.926741,1678
22,1157.41,0.253847,5,0.892034,1692.2
25,1349.86,0.999939,1,0.858276,546
26,1403.7,1.23996,4,0.913715,453.5
27,1456.18,2.1218,1,0.993227,254
28,1509.12,1.09354,3,0.875546,505.667
29,1563.85,0.990446,3,0.88804,561
30,1621.72,0.694135,3,0.828568,634
31,1697.09,0.486766,3,0.955254,1060
32,1754.96,0.495209,5,0.909764,979
33,1811.48,0.472086,5,0.937599,1028.6
34,1868.01,0.53368,5,0.935471,892.8
35,1924.8,0.567032,5,0.911464,846
36,1981.05,0.519749,5,0.965726,1015.2
37,2038.39,0.555283,5,0.975381,1020.2
38,2098.14,0.617559,5,0.972976,890.6
39,2161.4,1.10469,4,0.680188,196
41,2305.4,0.777115,3,0.967608,677.667
42,2359.23,0.705628,2,0.965472,748
43,2444.02,0.736272,4,0.954999,738.75
44,2505.93,0.788345,4,0.978943,707.75
45,2566.83,0.817171,4,0.976045,677.5
46,2625.71,0.896272,4,0.944886,587.25
47,2686.27,0.974504,2,0.988447,572
48,2751.32,0.861507,3,0.985116,623.667
52,2625.71,0.936854,1,0.931627,445
53,2957.32,1.18115,5,0.965435,446.6
58,3602.77,1.14753,3,0.867488,893.333
59,3602.77,1.28473,2,0.973971,531.5
68,4322.79,1.88732,4,0.887862,555
78,5372.2,2.35758,4,0.863442,470.75
91,5847.16,2.67988,3,0.879303,435.333
93,6482.84,2.66731,2,0.84318,423.5
