partial,f,sigma,r2,fittedFrameCount
1,261.09,0.971519,0.995656,543
2,523.526,0.88163,0.990804,599
3,785.962,0.547785,0.842144,829
4,1048.4,1.07533,0.970199,501
5,1312.18,1.1892,0.88214,379
6,1578.65,0.740229,0.86468,507
7,1845.13,0.44893,0.708482,684
8,2116.98,0.723283,0.892766,571
12,3215.18,0.693372,0.906934,851
14,3499.15,0.705795,0.958744,846
15,4073.81,0.879999,0.934367,673
16,4967.44,1.4738,0.9654,426
21,5274.29,1.69874,0.957649,376
22,5585.17,2.49102,0.952422,262
23,5901.44,2.65506,0.939598,238
24,6885.24,3.72759,0.92888,173
27,7918.84,6.73665,0.877858,114
30,8275.48,8.59979,0.91043,115
31,9008.95,6.30183,0.830463,167
33,9385.79,7.75582,0.877286,145
34,9769.34,10.1966,0.929209,113
35,10556.7,5.15917,0.694669,169
