partial,f,sigma,r2,fittedFrameCount
1,138.62,0.341465,0.819218,1250
2,277.24,0.578627,0.987827,873
3,415.86,0.407142,0.939366,1234
4,554.48,0.411653,0.873384,1249
5,693.1,0.319559,0.851841,1251
6,833.066,0.336017,0.82252,1252
7,971.686,0.472619,0.724643,895
8,1111.65,0.389792,0.755403,1021
9,1252.96,0.304883,0.674678,1229
10,1392.93,0.89819,0.768898,542
11,1535.59,0.567308,0.781063,761
12,1680.94,0.460985,0.883489,1040
21,2691.65,0.51474,0.604885,576
22,3291.89,0.420292,0.928745,1280
26,3910.97,0.462405,0.907796,1163
31,4390.08,0.628505,0.911045,941
34,5387.34,1.05898,0.928822,560
39,5559.6,1.19568,0.920998,487
40,5909.52,1.36438,0.91265,417
42,6815.26,1.87434,0.911145,302
47,8166.47,2.7881,0.919013,213
54,8777.47,3.81127,0.842595,162
56,9196.02,3.08437,0.779681,327
58,10065.4,3.73911,0.749454,255
62,10283.5,2.27628,0.611871,336
