partial,f,sigma,r2,fittedFrameCount
1,40.3748,0.177427,0.958738,1707
2,82.0953,0.150622,0.929809,1704
3,122.47,0.120866,0.809586,1706
4,164.191,0.129437,0.878509,1706
5,205.911,0.105234,0.710101,1706
6,246.286,0.10668,0.728067,1707
8,328.381,0.0971958,0.702506,1706
9,370.102,0.151748,0.92415,1704
10,411.823,0.135582,0.839414,1704
11,453.543,0.160712,0.900846,1702
12,495.264,0.162265,0.913367,1702
13,536.984,0.187604,0.942942,1698
14,578.705,0.18685,0.95426,1698
15,620.425,0.190106,0.916789,1702
16,662.146,0.180076,0.86919,1701
17,705.212,0.22507,0.970584,1704
18,746.933,0.193745,0.939996,1699
19,789.999,0.237156,0.981428,1691
20,833.066,0.271082,0.995333,1696
21,876.132,0.273092,0.983422,1689
22,919.199,0.30505,0.995123,1684
23,962.265,0.307369,0.993976,1677
24,1005.33,0.336726,0.983049,1606
25,1049.74,0.349436,0.98508,1524
26,1094.16,0.366618,0.99376,1505
27,1156.06,1.76986,0.991353,308
28,1196.44,0.747987,0.908186,671
30,1278.53,0.581567,0.889779,780
33,1442.72,1.17631,0.9613,433
34,1484.45,1.35346,0.925349,366
35,1524.82,0.873668,0.923934,581
36,1588.07,0.605802,0.995455,989
37,1637.87,0.660638,0.987916,873
38,1687.66,0.651994,0.9816,806
39,1733.42,0.751119,0.936396,568
40,1783.22,0.815615,0.939092,661
41,1831.67,0.75459,0.975982,704
42,1880.12,0.85685,0.996563,685
43,1929.91,0.818531,0.983903,660
44,1979.71,0.895819,0.990784,658
45,2028.16,0.892982,0.966368,590
46,2079.3,0.946442,0.982959,568
47,2130.44,1.0194,0.992846,562
48,2181.58,1.05304,0.996315,563
50,2310.78,2.76938,0.990381,199
51,2363.27,1.33773,0.9997,425
52,2407.68,1.31389,0.999022,425
54,2542.26,1.18888,0.999506,476
55,2586.68,1.20601,0.999808,485
56,2632.43,1.18977,0.999869,484
57,2713.18,1.34395,0.98407,389
58,2768.36,1.449,0.979159,391
59,2826.23,1.46716,0.984611,416
60,2889.49,2.53199,0.971642,207
61,2937.94,1.38981,0.971174,368
63,3466.85,1.91337,0.917814,371
79,4044.2,2.18923,0.928798,343
88,4955.33,4.12329,0.976542,248
