partial,f,sigma,r2,fittedFrameCount
1,414.514,0.857408,0.953456,641
2,831.72,0.865328,0.846088,544
4,1670.17,0.451457,0.841865,720
5,2095.45,0.353917,0.723645,800
6,2523.42,0.51363,0.699101,556
7,2958.12,0.672048,0.93691,661
9,3399.55,0.925812,0.920564,620
10,3846.37,1.30421,0.925838,479
11,5241.99,2.78399,0.950872,235
15,5726.49,3.2977,0.922136,190
16,6221.75,4.14622,0.925696,163
17,6733.16,5.43246,0.925505,126
18,7254,6.21743,0.928579,112
19,8894.56,10.5473,0.901423,107
23,9470.57,11.0214,0.897456,103
24,10061.4,9.4228,0.834347,109
25,10667,2.83729,0.528256,226
