partial,f,sigma,r2,fittedFrameCount
1,57.8705,0.243132,0.930017,1558
2,115.741,0.181186,0.894959,1695
3,174.957,0.174802,0.916856,1700
4,232.828,0.1508,0.804452,1705
5,290.698,0.213009,0.894117,1697
6,348.569,0.132764,0.68108,1702
9,523.526,0.141381,0.793242,1703
11,640.613,0.206076,0.810395,1694
12,699.829,0.143412,0.820496,1696
13,757.7,0.178063,0.886551,1699
14,816.916,0.12385,0.649857,1701
16,935.349,0.169703,0.735697,1698
17,994.565,0.179378,0.766872,1698
18,1053.78,0.179624,0.700077,1699
19,1114.34,0.169102,0.726668,1700
20,1176.25,0.266182,0.773552,1438
30,1837.05,0.344987,0.832517,1162
31,1898.96,0.342943,0.873036,1138
32,1960.87,0.333031,0.950513,1335
33,2022.78,0.349068,0.896035,1414
34,2084.68,0.393319,0.904264,1094
35,2149.28,0.421024,0.902804,1219
42,2656.66,0.513623,0.910201,839
43,2722.6,0.584021,0.955178,898
50,2787.2,0.632547,0.95735,779
51,3068.48,0.634676,0.826196,1457
55,3115.59,0.645842,0.838782,1417
56,3184.22,0.568555,0.793732,1494
57,3250.17,0.435729,0.645246,1721
58,3832.91,0.47372,0.708574,1510
65,3875.98,0.399173,0.705573,1606
