partial,f,sigma,r2,fittedFrameCount
1,39.0289,0.179754,0.959451,1707
2,78.0579,0.135905,0.875338,1704
3,115.741,0.133512,0.901252,1705
4,154.77,0.106552,0.731231,1706
5,193.799,0.13106,0.888942,1706
6,232.828,0.10622,0.823545,1709
7,271.857,0.133908,0.901299,1705
8,310.886,0.0981681,0.65544,1708
9,349.915,0.113784,0.781195,1706
10,388.943,0.141362,0.917087,1705
11,427.972,0.16722,0.944253,1703
12,467.001,0.193293,0.954232,1701
13,506.03,0.182126,0.948454,1702
14,545.059,0.201963,0.971681,1699
15,585.434,0.208551,0.974395,1702
16,624.463,0.178624,0.906206,1705
17,664.838,0.180643,0.875569,1701
18,705.212,0.188905,0.945776,1705
19,744.241,0.197907,0.952815,1698
20,784.616,0.213405,0.966737,1695
21,824.991,0.211503,0.964093,1701
22,866.711,0.256258,0.979818,1691
23,907.086,0.283306,0.993609,1690
24,947.461,0.278672,0.988181,1704
25,990.527,0.296114,0.974978,1705
26,1032.25,0.346814,0.98764,1527
27,1099.54,2.52395,0.97485,236
35,1454.84,0.53928,0.98846,1025
36,1499.25,0.541745,0.992849,1050
37,1545.01,0.597603,0.987023,979
38,1588.07,0.578759,0.991353,1007
39,1633.83,0.723142,0.999568,810
40,1678.24,0.644219,0.985423,849
41,1724,0.711248,0.979431,770
42,1769.76,0.643255,0.93671,719
43,1816.86,0.811956,0.972848,659
44,1862.62,0.828086,0.983638,729
45,1909.73,0.77206,0.983706,698
53,2345.77,1.24165,0.998718,426
65,2754.9,1.23348,0.993485,415
69,3302.66,0.394339,0.761144,1627
