partial,f,sigma,r2,fittedFrameCount
2,110.358,0.166601,0.656975,1699
3,164.191,0.168356,0.839043,1702
4,219.37,0.216665,0.970755,1697
5,274.548,0.180545,0.686234,1702
6,329.727,0.155898,0.683787,1701
7,384.906,0.202349,0.805036,1702
8,440.085,0.180524,0.830318,1706
9,495.264,0.160117,0.732263,1692
11,605.621,0.140868,0.805288,1700
12,660.8,0.202208,0.728448,1695
13,715.979,0.252568,0.833325,1493
14,771.158,0.199749,0.821501,1696
15,827.682,0.206623,0.900918,1700
16,882.861,0.228992,0.934382,1695
17,939.386,0.211164,0.790184,1699
18,994.565,0.262472,0.891392,1691
19,1051.09,0.238674,0.896147,1471
20,1110.31,0.275057,0.918888,1682
21,1168.18,0.239556,0.84271,1695
26,1487.14,0.63314,0.87579,689
27,1542.32,0.597356,0.934772,842
31,1796.68,0.518399,0.968022,1114
32,1857.24,0.515832,0.974669,999
33,1915.11,0.503464,0.961689,1101
34,1974.33,0.4772,0.970433,1052
35,2034.89,0.544386,0.977691,957
36,2096.8,0.553708,0.978145,1017
37,2157.36,0.523255,0.967,1019
43,2586.68,0.818387,0.97721,731
44,2649.93,0.855206,0.999588,665
45,2707.8,0.776726,0.942127,649
46,2771.05,0.976067,0.948138,521
53,3034.84,0.984712,0.905313,985
57,3593.35,1.27003,0.907953,833
65,3915.01,1.0332,0.840176,862
69,4312.02,0.939922,0.738701,817
75,4871.89,0.81079,0.739342,880
81,4923.03,0.603183,0.749912,1034
82,5025.31,0.599095,0.719939,1050
83,5076.45,0.560155,0.719051,1106
