partial,f,sigma,r2,fittedFrameCount
1,30.954,0.22108,0.984178,1694
2,61.908,0.201059,0.973997,1700
3,91.5161,0.151846,0.918138,1704
4,122.47,0.116685,0.784293,1705
5,153.424,0.14594,0.90396,1705
6,184.378,0.104831,0.699533,1706
7,215.332,0.0895352,0.624543,1706
8,246.286,0.107167,0.669213,1708
9,277.24,0.121595,0.819319,1706
10,308.194,0.106479,0.704391,1706
11,339.148,0.103011,0.697504,1706
12,371.448,0.104842,0.691107,1706
13,402.402,0.133332,0.807338,1509
14,433.356,0.133694,0.828788,1704
15,465.656,0.154823,0.833952,1700
16,497.955,0.163381,0.935748,1706
17,528.909,0.181683,0.93659,1698
18,562.555,0.17334,0.933158,1703
19,593.509,0.194179,0.962906,1700
20,627.155,0.192757,0.941353,1701
21,659.454,0.196238,0.935781,1697
22,693.1,0.208193,0.944194,1698
23,725.4,0.197329,0.95115,1699
24,759.045,0.210205,0.964029,1702
25,792.691,0.233141,0.980675,1703
26,826.337,0.260521,0.98796,1699
27,861.328,0.260368,0.98128,1690
28,896.32,0.269783,0.987602,1686
29,929.965,0.315801,0.99299,1673
30,964.957,0.332522,0.997896,1679
31,999.948,0.349737,0.991129,1547
32,1036.29,0.350828,0.989137,1541
33,1071.28,0.426099,0.993999,1215
34,1108.96,0.438981,0.996066,1273
35,1143.95,0.496836,0.99531,1171
36,1180.29,0.461492,0.989808,1182
37,1217.97,0.5126,0.990583,1064
38,1255.65,0.574768,0.990188,946
39,1293.34,0.624206,0.999251,950
40,1331.02,0.62927,0.974294,870
41,1370.05,0.807201,0.951426,720
42,1410.42,0.651224,0.98061,858
43,1449.45,0.686845,0.99323,823
44,1488.48,0.679926,0.992962,823
45,1528.86,0.731763,0.984736,750
46,1569.23,0.817988,0.981512,642
47,1609.61,0.84866,0.997377,686
48,1651.33,0.850116,0.981239,642
49,1694.39,0.889353,0.985978,654
50,1734.77,0.872728,0.934273,561
51,1777.84,1.03825,0.977681,521
52,1820.9,1.25509,0.996858,479
53,1863.97,1.07743,0.982202,501
54,1907.03,1.22424,0.990641,485
55,1950.1,1.30959,0.99406,437
64,2345.77,1.80222,0.791678,280
71,2674.15,2.08553,0.991226,257
72,2726.64,1.87248,0.993892,280
73,2777.78,2.07754,0.971367,226
75,2884.1,1.80184,0.92981,296
81,3289.2,0.668129,0.727989,1035
