partial,f,sigma,r2,fittedFrameCount
1,87.4786,0.212515,0.967533,1691
2,174.957,0.218544,0.918515,1695
3,261.09,0.292916,0.890163,1690
4,348.569,0.225489,0.976612,1695
5,436.047,0.198225,0.87169,1635
6,523.526,0.160882,0.69747,1699
8,698.483,0.12086,0.841857,1706
9,787.308,0.171226,0.83275,1697
10,874.786,0.157444,0.614415,1686
12,1051.09,0.226694,0.812871,1692
15,1317.56,0.126226,0.637125,1697
16,1406.39,0.243388,0.858436,1686
17,1496.56,0.150439,0.842639,1697
18,1586.73,0.204521,0.789517,1692
19,1676.9,0.163401,0.7204,1692
20,1768.41,0.243535,0.881492,1651
21,1861.28,0.176173,0.733908,1696
33,2600.13,0.28695,0.88793,1484
34,2694.34,0.305643,0.937493,1600
35,2789.9,0.33815,0.861678,1056
36,3176.15,0.545688,0.80206,995
40,3472.23,0.553281,0.782318,806
43,3571.82,0.780037,0.729754,874
45,4219.16,0.696824,0.639946,898
51,4289.15,1.36308,0.812951,504
52,4395.46,0.903024,0.800204,1007
53,4823.44,0.979344,0.767573,926
57,4932.45,0.844015,0.702766,987
58,5041.46,0.794909,0.697715,1043
59,5153.16,0.590995,0.646113,1064
60,5264.87,0.589183,0.641421,1079
61,5719.76,0.631195,0.576042,1069
65,5952.58,0.568543,0.57377,1068
